Kanji,Reading,Indonesian
売り切れ,うりきれ,Habis
売り切れる,うりきれる,Habis terjual
売行き,うれゆき,Penjualan
うろうろ,うろうろ,Berjalan dengan ragu-ragu
運河,うんが,Saluran air
うんと,うんと,Hmph
英文,えいぶん,Bahasa Inggris
英和,えいわ,Inggris-Jepang
ええと,ええと,Baiklah
液体,えきたい,Cairan
エチケット,エチケット,Etiquette
絵の具,えのぐ,Cat
エプロン,エプロン,Celemek
偉い,えらい,Hebat
宴会,えんかい,Perjamuan
園芸,えんげい,Berkebun
演劇,えんげき,Teater
円周,えんしゅう,Keliling
遠足,えんそく,Perjalanan ke alam terbuka
延長,えんちょう,Perpanjangan
煙突,えんとつ,Cerobong
追い掛ける,おいかける,Mengikuti
追い越す,おいこす,Melewati
オイル,オイル,Minyak
応援,おうえん,Dukungan
王女,おうじょ,Putri
応ずる,おうずる,Menanggapi
応接,おうせつ,Pertemuan
応対,おうたい,Penanganan
往復,おうふく,Perjalanan bolak-balik
欧米,おうべい,Eropa dan Amerika
応用,おうよう,Aplikasi
オーケストラ,オーケストラ,Orkestra
おおざっぱ,おおざっぱ,Santai
大通り,おおどおり,Jalan utama
オートメーショ,オートメーショ,Otomatisasi
ン,ン,N
オーバーコート,オーバーコート,Jaket luar
大凡,おおよそ,Secara umum
お帰り,おかえり,Selamat datang kembali
おかけください,おかけください,Mohon untuk diantar
おかげさまで,おかげさまで,Berkat Anda
おかず,おかず,Makanan pembuka
拝む,おがむ,Menghormati
お代わり,おかわり,Tambahan
補う,おぎなう,Melengkapi
おきのどくに,おきのどくに,Okeindoku
屋外,おくがい,Di luar ruangan
おくさん,おくさん,Wanita
送り仮名,おくりがな,Nama panggilan pengiriman
おげんきで,おげんきで,Sehat
怠る,おこたる,Mengabaikan
押える,おさえる,Menekan
おさきに,おさきに,Di awal
納める,おさめる,Memberikan
治める,おさめる,Mengatur
惜しい,おしい,Sayang
御辞儀,おじぎ,Salam hormat
伯父さん,おじさん,Paman
小父さん,おじさん,Kakek
叔父さん,おじさん,Paman
おしゃれ,おしゃれ,Modis
おじゃまします,おじゃまします,Saya akan datang
教わる,おそわる,Belajar
おだいじに,おだいじに,Bersabar
落着く,おちつく,Mereda
御手洗,おてあらい,Cuci tangan
お出掛け,おでかけ,Pergi keluar
お手伝いさ,おてつだいさん,Bisakah saya membantu?
おどかす,おどかす,Menyinggung
落し物,おとしもの,Barang yang hilang
おととい,おととい,Kemarin
おととし,おととし,Tahun lalu
おとなしい,おとなしい,Tenang
驚かす,おどろかす,Mengejutkan
おねがいします,おねがいします,Tolong
各々,おのおの,Setiap orang
伯母さん,おばさん,Nenek
叔母さん,おばさん,Tante
おはよう,おはよう,Selamat pagi
お参り,おまいり,Ziarah
おまたせしまし,おまたせしまし,Maaf atas penundaan ini.
た,た,Tentu
おまちください,おまちください,Mohon tunggu
おまちどおさま,おまちどおさま,"Halo, apa kabar?"
おめでたい,おめでたい,Selamat
思い掛けな,おもいがけない,Tidak disengaja
思い込む,おもいこむ,Berpikir
思いっ切り,おもいっきり,Semaksimal mungkin
思い付く,おもいつく,Ingat
重たい,おもたい,Berat
おやすみ,おやすみ,Selamat malam
おやつ,おやつ,Camilan
親指,おやゆび,Jari telunjuk
オルガン,オルガン,Organ
卸す,おろす,Menjual
恩恵,おんけい,Manfaat
温室,おんしつ,Rumah kaca
温泉,おんせん,Pemandian air panas
温帯,おんたい,Zona sedang
御中,おんちゅう,Kepada Bapak/Ibu
女の人,おんなのひと,Wanita
蚊,か,Kutu
カーブ,カーブ,Kurva
貝,かい,Kerang
開会,かいかい,Dimulai
会館,かいかん,Gedung
改札,かいさつ,Gerbang pemeriksaan
解散,かいさん,Pembubaran
海水浴,かいすいよく,Berenang di laut
回数,かいすう,Jumlah
回数券,かいすうけん,Tiket jumlah
改正,かいせい,Perubahan
快晴,かいせい,Cuaca cerah
解説,かいせつ,Penjelasan
改造,かいぞう,Modifikasi
開通,かいつう,Dibuka
回転,かいてん,Putaran
解答,かいとう,Jawaban
回答,かいとう,Jawaban
外部,がいぶ,Eksternal
解放,かいほう,Pembebasan
開放,かいほう,Terbuka
海洋,かいよう,Laut
概論,がいろん,Pendahuluan
帰す,かえす,Mengembalikan
却って,かえって,Sebaliknya
代える,かえる,Mengganti
反る,かえる,Memantul
家屋,かおく,Bangunan
係わる,かかわる,Terlibat
書留,かきとめ,Surat tercatat
書取,かきとり,Catatan
垣根,かきね,Tembok
掻く,かく,Menggaruk
嗅ぐ,かぐ,Mencium
架空,かくう,Fiktif
各自,かくじ,Setiap
拡充,かくじゅう,Memperluas
学術,がくじゅつ,Akademis
各地,かくち,Setiap daerah
拡張,かくちょう,Perluasan
角度,かくど,Sudut
学年,がくねん,Tahun akademik
学部,がくぶ,Fakultas
格別,かくべつ,Secara khusus
確率,かくりつ,Probabilitas
学力,がくりょく,Kemampuan akademik
掛け算,かけざん,Perkalian
可決,かけつ,Disetujui
火口,かこう,Kawah
下降,かこう,Turun
重なる,かさなる,Menumpuk
重ねる,かさねる,Menumpuk
飾り,かざり,Dekorasi
火山,かざん,Gunung berapi
かしこまりまし,かしこまりまし,Saya mengerti
た,た,Tentu
貸し出し,かしだし,Penyewaan
過失,かしつ,Kelalaian
果実,かじつ,Buah
貸間,かしま,Kamar sewaan
貸家,かしや,Rumah sewaan
個所,かしょ,Bagian
過剰,かじょう,Berlebihan
かじる,かじる,Mengunyah
課税,かぜい,Pajak
下線,かせん,Garis bawah
カセット,カセット,Kaset
加速,かそく,Mempercepat
加速度,かそくど,Akselerasi
固い,かたい,Keras
堅い,かたい,Keras
片仮名,かたかな,Hiragana
片付く,かたづく,Membersihkan
塊,かたまり,Bentuk
固まる,かたまる,Mengeras
片道,かたみち,Satu arah
傾く,かたむく,Miring
片寄る,かたよる,Menyentak
学科,がっか,Jurusan
学会,がっかい,Kelompok
楽器,がっき,Alat musik
学級,がっきゅう,Kelas
担ぐ,かつぐ,Menanggung
括弧,かっこ,Kurung
活字,かつじ,Huruf cetak
活躍,かつやく,Aktif
活力,かつりょく,Energi
仮定,かてい,Asumsi
過程,かてい,Proses
課程,かてい,Mata kuliah
仮名,かな,Hiragana
仮名遣い,かなづかい,Huruf-huruf kana
鐘,かね,Gong
加熱,かねつ,Pemanasan
兼ねる,かねる,Sebagai
カバー,カバー,Penutup
過半数,かはんすう,Mayoritas
被せる,かぶせる,Menutupi
釜,かま,Panci
紙屑,かみくず,Sampah kertas
神様,かみさま,Tuhan
剃刀,かみそり,Gunting rambut
ガム,ガム,Karet
貨物,かもつ,Kargo
かゆい,かゆい,Gatal
歌謡,かよう,Musik populer
殻,から,Cangkang
カラー,カラー,Warna
からかう,からかう,Mengejek
空っぽ,からっぽ,Kosong
かるた,かるた,Buku
枯れる,かれる,Layu
カロリー,カロリー,Kalori
かわいがる,かわいがる,Menyenangkan
乾かす,かわかす,Mengeringkan
渇く,かわく,Kehausan
為替,かわせ,Nilai tukar
瓦,かわら,Keramik
代る,かわる,Pengganti
間隔,かんかく,Jarak
換気,かんき,Ventilasi
感激,かんげき,Terima kasih
関西,かんさい,Prefektur Kansai
鑑賞,かんしょう,Menikmati
感ずる,かんずる,Merasa
間接,かんせつ,Tidak langsung
乾燥,かんそう,Kering
感想,かんそう,Komentar
観測,かんそく,Pengamatan
寒帯,かんたい,Zona dingin
官庁,かんちょう,Pemerintah
勘違い,かんちがい,Kesalahpahaman
缶詰,かんづめ,Makanan kaleng
乾電池,かんでんち,Baterai kering
関東,かんとう,Prefektur Kanagawa
観念,かんねん,Konsep
乾杯,かんぱい,Semoga sukses
看板,かんばん,Papan
看病,かんびょう,Merawat
冠,かんむり,Mahkota
漢和,かんわ,Han-Wa
気圧,きあつ,Tekanan udara
器械,きかい,Peralatan
着替え,きがえ,Berpakaian
機関車,きかんしゃ,Kereta api
飢饉,ききん,Kelaparan
器具,きぐ,Alat
期限,きげん,Batas waktu
記号,きごう,Simbol
刻む,きざむ,Mengukir
儀式,ぎしき,Upacara
基準,きじゅん,Kriteria
規準,きじゅん,Standar
起床,きしょう,Bangun
着せる,きせる,Memakai
基礎,きそ,Dasar
気体,きたい,Gas
基地,きち,Basis
きっかけ,きっかけ,Pemicu
ぎっしり,ぎっしり,Padat
基盤,きばん,Dasar
客席,きゃくせき,Tempat duduk untuk penonton
客間,きゃくま,Kekam
ギャング,ギャング,Geng
キャンパス,キャンパス,Kampus
休業,きゅうぎょう,Libur
休講,きゅうこう,Tidak mengikuti kelas
休息,きゅうそく,Istirahat
給与,きゅうよ,Gaji
休養,きゅうよう,Istirahat
清い,きよい,Bersih
強化,きょうか,Memperkuat
境界,きょうかい,Batas
行事,ぎょうじ,Kegiatan
恐縮,きょうしゅく,Maaf
教養,きょうよう,Pendidikan umum
行列,ぎょうれつ,Matriks
漁業,ぎょぎょう,Perikanan
曲線,きょくせん,Kurva
規律,きりつ,Disiplin
斬る,きる,Memotong
気を付ける,きをつける,Perhatikan
金魚,きんぎょ,Ikan mas
区域,くいき,Wilayah
偶数,ぐうすう,Bilangan genap
空想,くうそう,Imajinasi
空中,くうちゅう,Di udara
クーラー,クーラー,Kulkas
釘,くぎ,Paku
区切る,くぎる,Memisahkan
櫛,くし,Sisir
くしゃみ,くしゃみ,Bersin
苦情,くじょう,Keluhan
苦心,くしん,Usaha keras
屑,くず,Sampah
崩す,くずす,Merobohkan
薬指,くすりゆび,Jari tengah
崩れる,くずれる,Runtuh
砕く,くだく,Memecah
砕ける,くだける,Hancur
くたびれる,くたびれる,Lelah
くだらない,くだらない,tidak penting
下る,くだる,Menurun
唇,くちびる,Bibir
口紅,くちべに,Lipstik
くっつく,くっつく,Menempel
くっつける,くっつける,Menempelkan
くどい,くどい,Panjang
句読点,くとうてん,Tanda baca
配る,くばる,Memberikan
工夫,くふう,Keterampilan
区分,くぶん,Kategori
組合せ,くみあわせ,Kombinasi
組み立てる,くみたてる,Merakit
汲む,くむ,"Mengambil, Memanen"
酌む,くむ,Menawarkan minuman
悔しい,くやしい,Menyesal
悔やむ,くやむ,Menyesal
クリーニング,クリーニング,Pembersihan
くるむ,くるむ,Berhenti
くれぐれも,くれぐれも,Sangat hati-hati
咥える,くわえる,Menggenggam
郡,ぐん,Kabupaten
稽古,けいこ,Latihan
敬語,けいご,Ucapan hormat
蛍光灯,けいこうとう,Lampu neon
形式,けいしき,Format
継続,けいぞく,Berlanjut
毛糸,けいと,Benang
経度,けいど,Lintang
系統,けいとう,Sistem
芸能,げいのう,Hiburan
競馬,けいば,Pacuan Kuda
警備,けいび,Keamanan
形容詞,けいようし,Kata sifat
形容動詞,けいようどうし,Kata kerja yang memiliki sifat
外科,げか,Bedah
毛皮,けがわ,Bulu
激増,げきぞう,Meningkat pesat
下車,げしゃ,Turun
下旬,げじゅん,Akhir bulan
下水,げすい,Saluran pembuangan
削る,けずる,Memotong
桁,けた,Digit
下駄,げた,Tapak
血圧,けつあつ,Tekanan darah
血液,けつえき,Darah
月給,げっきゅう,Gaji bulanan
傑作,けっさく,Mahakarya
月末,げつまつ,Akhir bulan
気配,けはい,Kehadiran
下品,げひん,Tidak sopan
煙い,けむい,Asap
蹴る,ける,Menendang
険しい,けわしい,Sulit
見学,けんがく,Kunjungan
謙虚,けんきょ,Rendah hati
原稿,げんこう,Draf
原産,げんさん,Asal
原始,げんし,Primitif
研修,けんしゅう,Pelatihan
厳重,げんじゅう,Ketat
謙遜,けんそん,Kerendahan hati
県庁,けんちょう,Balai Pemerintah Provinsi
限度,げんど,Batasan
現に,げんに,Saat ini
顕微鏡,けんびきょう,Mikroskop
原理,げんり,Prinsip
原料,げんりょう,Bahan baku
碁,ご,Go
恋しい,こいしい,Rindu
請う,こう,Tolong
工員,こういん,Pekerja
強引,ごういん,Agresif
公害,こうがい,Polusi
高級,こうきゅう,Eksklusif
公共,こうきょう,Masyarakat
工芸,こうげい,Kerajinan
孝行,こうこう,Kesalehan
交差,こうさ,Persimpangan
講師,こうし,Instruktur
工事,こうじ,Pekerjaan
公式,こうしき,Resmi
口実,こうじつ,Alasan
こうして,こうして,Dengan cara ini
校舎,こうしゃ,Gedung sekolah
公衆,こうしゅう,Masyarakat umum
香水,こうすい,Parfum
公正,こうせい,Keadilan
功績,こうせき,Prestasi
光線,こうせん,Sinar
高層,こうそう,Tinggi
構造,こうぞう,Struktur
交替,こうたい,Seling
耕地,こうち,Lahan pertanian
交通機関,こうつうきかん,Transportasi
校庭,こうてい,Lapangan
肯定,こうてい,Ya
高度,こうど,Tingkat
高等,こうとう,Sekolah Menengah Atas
合同,ごうどう,Kontrak
後輩,こうはい,Kakak
公表,こうひょう,Publikasi
鉱物,こうぶつ,Batu-batu
公務,こうむ,Pekerjaan
項目,こうもく,Item
紅葉,こうよう,Daun-daun musim gugur
合理,ごうり,Logis
交流,こうりゅう,Interaksi
合流,ごうりゅう,Pertemuan
効力,こうりょく,Efektivitas
超える,こえる,Melebihi
コース,コース,Kursus
コーラス,コーラス,Paduan suara
焦がす,こがす,Memasak
国王,こくおう,Raja
国籍,こくせき,Negara
国立,こくりつ,Negara
ごくろうさま,ごくろうさま,Terima kasih
焦げる,こげる,Terbakar
凍える,こごえる,Beku
心当たり,こころあたり,Perasaan
心得る,こころえる,Memenuhi harapan
腰掛け,こしかけ,Kursi
腰掛ける,こしかける,Menempatkan
五十音,ごじゅうおん,Huruf-huruf dalam abjad
胡椒,こしょう,Lada
こしらえる,こしらえる,Membuat
超す,こす,Melebihi
擦る,こする,Menggosok
ごぞんじですか,ごぞんじですか,Apakah Anda mengerti?
個体,こたい,Individu
御馳走,ごちそう,Makan malam
ごちそうさま,ごちそうさま,Terima kasih atas hidangan yang lezat
こちらこそ,こちらこそ,Balasan juga
小遣い,こづかい,Uang saku
コック,コック,Koki
こっそり,こっそり,Diam-diam
古典,こてん,Klasik
琴,こと,Biola
言付ける,ことづける,Memarahi
言葉遣い,ことばづかい,Cara berbicara
こないだ,こないだ,Baru-baru ini
御無沙汰,ごぶさた,Tidak disalahgunakan
こぼす,こぼす,Tumpah
こぼれる,こぼれる,Tumpah
塵芥,ごみ,Sampah
ゴム,ゴム,Karet
御免,ごめん,Maaf
ごめんください,ごめんください,Maaf
小指,こゆび,Jari kelingking
こらえる,こらえる,Menahan
娯楽,ごらく,Hiburan
御覧,ごらん,Lihat
コレクション,コレクション,Koleksi
転がす,ころがす,Memutar
転がる,ころがる,Berguling
紺,こん,Biru tua
コンクール,コンクール,Kompetisi
コンクリート,コンクリート,Beton
混合,こんごう,Campuran
コンセント,コンセント,Stop kontak
献立,こんだて,Menu
こんばんは,こんばんは,Selamat malam
サークル,サークル,Kelompok
在学,ざいがく,Masih belajar
再三,さいさん,Berulang-ulang
祭日,さいじつ,Hari libur
催促,さいそく,Pengingat
採点,さいてん,Penilaian
災難,さいなん,Bencana
裁縫,さいほう,Menjahit
材木,ざいもく,Kayu
サイレン,サイレン,Siren
逆さ,さかさ,Terbalik
逆様,さかさま,Berlawanan arah
捜す,さがす,Mencari
遡る,さかのぼる,Kembali
酒場,さかば,Bar
さきおととい,さきおととい,kemarin
先程,さきほど,Baru saja
裂く,さく,Memecah
索引,さくいん,Indeks
作者,さくしゃ,Penulis
削除,さくじょ,Hapus
作成,さくせい,Pembuatan
作製,さくせい,Pembuatan
探る,さぐる,Mencari
囁く,ささやく,Berbisik
刺さる,ささる,Menyayat
匙,さじ,Sendok
座敷,ざしき,Ruang tempat duduk
差し支え,さしつかえ,Tidak apa-apa
差し引き,さしひき,Diskon
刺身,さしみ,Ikan mentah yang sudah dipotong-potong
刺す,さす,Menyayat
挿す,さす,Memasukkan
注す,さす,Menandai
射す,さす,Menembak
流石,さすが,Seperti yang diharapkan
撮影,さつえい,Pemotretan
雑音,ざつおん,Gangguan
さっさと,さっさと,Dengan cepat
早速,さっそく,Segera
錆,さび,Korosi
錆びる,さびる,Berkarat
座布団,ざぶとん,Bantal duduk
冷ます,さます,Mendinginkan
妨げる,さまたげる,Menghalangi
冷める,さめる,Mendingin
さようなら,さようなら,Selamat tinggal
再来月,さらいげつ,Bulan depan
再来週,さらいしゅう,Minggu depan
再来年,さらいねん,Tahun depan
サラリーマン,サラリーマン,Karyawan kantoran
騒がしい,さわがしい,Bising
さわやか,さわやか,Segar
三角,さんかく,Segitiga
算数,さんすう,Matematika
酸性,さんせい,Asam
産地,さんち,Asal
サンプル,サンプル,Contoh
山林,さんりん,Hutan
仕上がる,しあがる,Selesai
しあさって,しあさって,besok
シーズン,シーズン,Musim
シーツ,シーツ,Seprai
寺院,じいん,Kuil
しいんと,（する）,Shiinto
自衛,じえい,Pertahanan diri
塩辛い,しおからい,Asin
司会,しかい,Pembawa acara
四角,しかく,Persegi
四角い,しかくい,Berbentuk persegi
時間割,じかんわり,Jadwal
四季,しき,Musim
敷地,しきち,Lahan
至急,しきゅう,Segera
敷く,しく,Meletakkan
茂る,しげる,Tumbuh subur
持参,じさん,Bawa sendiri
磁石,じしゃく,Magnet
四捨五入,ししゃごにゅう,Pembulatan
始終,しじゅう,Selalu
自習,じしゅう,Belajar mandiri
静まる,しずまる,Tenang
姿勢,しせい,Postur
自然科学,しぜんかがく,Ilmu Alam
時速,じそく,km/jam
子孫,しそん,Keturunan
死体,したい,Mayat
下書き,したがき,Draf
下町,したまち,Gang
自治,じち,Otonomi
実感,じっかん,Pengalaman
湿気,しっけ,Kelembapan
湿気,しっき,Kelembapan
しつこい,しつこい,Mengganggu
実習,じっしゅう,Praktik
実績,じっせき,Prestasi
湿度,しつど,Kelembaban
執筆,しっぴつ,Menulis
実物,じつぶつ,Barang asli
しっぽ,しっぽ,ekor
実用,じつよう,Praktis
実力,じつりょく,Kemampuan
実例,じつれい,Contoh nyata
失恋,しつれん,Putus Cinta
指定,してい,Ditetapkan
私鉄,してつ,Kereta api pribadi
児童,じどう,Anak-anak
縛る,しばる,Menahan
地盤,じばん,Tanah
しびれる,しびれる,Sensasi yang membekukan
紙幣,しへい,Uang kertas
しぼむ,しぼむ,Menyusut
絞る,しぼる,Mempersempit
縞,しま,Garis-garis
地味,じみ,Sederhana
しみじみ,しみじみ,"Hangat, tulus, penuh perasaan"
氏名,しめい,Nama
締切,しめきり,Batas Waktu
締め切る,しめきる,Menetapkan batas waktu
湿る,しめる,Basah
ジャーナリスト,ジャーナリスト,Jurnalis
社会科学,しゃかいかがく,Ilmu Sosial
しゃがむ,しゃがむ,Berjongkok
蛇口,じゃぐち,Keran
弱点,じゃくてん,Kelemahan
車庫,しゃこ,Garasi
車掌,しゃしょう,Petugas kereta api
写生,しゃせい,Lukisan anatomi
社説,しゃせつ,Opini
しゃっくり,しゃっくり,Menggaruk
シャッター,シャッター,Kamera
しゃぶる,しゃぶる,Memasak dengan air mendidih
車輪,しゃりん,Roda
洒落,しゃれ,Santai
じゃんけん,じゃんけん,"Tinju, gunting, batu"
集会,しゅうかい,Rapat
住居,じゅうきょ,Tempat tinggal
集金,しゅうきん,Pengumpulan dana
集合,しゅうごう,Kelompok
習字,しゅうじ,Menulis dengan tangan
修繕,しゅうぜん,Perbaikan
重体,じゅうたい,Berat
じゅうたん,（カーペット）,Karpet
終点,しゅうてん,Akhir
重点,じゅうてん,Fokus
就任,しゅうにん,Mulai menjabat
周辺,しゅうへん,Sekitar
重役,じゅうやく,Jabatan penting
終了,しゅうりょう,Akhir
重量,じゅうりょう,Berat
重力,じゅうりょく,Gravitasi
熟語,じゅくご,Kata-kata
祝日,しゅくじつ,Hari Libur
縮小,しゅくしょう,Penyusutan
受験,じゅけん,Pendaftaran
主語,しゅご,Subjek
出勤,しゅっきん,Datang ke kantor
述語,じゅつご,Kata kerja
出張,しゅっちょう,Perjalanan Dinas
寿命,じゅみょう,Umur
主役,しゅやく,Tokoh utama
受話器,じゅわき,Headset
循環,じゅんかん,Siklus
巡査,じゅんさ,Petugas
順々,じゅんじゅん,Secara bertahap
順序,じゅんじょ,Urutan
純情,じゅんじょう,Murni
純粋,じゅんすい,Murni
消化,しょうか,Pencernaan
小学生,しょうがくせい,Anak-anak sekolah dasar
しょうがない,しょうがない,Tidak ada pilihan lain
将棋,しょうぎ,Catur
蒸気,じょうき,Uap
定規,じょうぎ,Penggaris
上級,じょうきゅう,Tingkat Lanjut
商業,しょうぎょう,Bisnis
消極的,しょうきょくて,Pasif
き,き,K
賞金,しょうきん,Hadiah
上下,じょうげ,Atas dan bawah
障子,しょうじ,Jendela
商社,しょうしゃ,Perusahaan dagang
乗車,じょうしゃ,Perjalanan
上旬,じょうじゅん,Awal bulan
生ずる,しょうずる,Muncul
小数,しょうすう,Desimal
商店,しょうてん,Toko
焦点,しょうてん,Fokus
消毒,しょうどく,Desinfeksi
勝敗,しょうはい,Hasil
蒸発,じょうはつ,Penguapan
賞品,しょうひん,Hadiah
勝負,しょうぶ,Pertarungan
小便,しょうべん,Buang air kecil
消防署,しょうぼうしょ,Kantor Pemadam Kebakaran
正味,しょうみ,Netto
正面,しょうめん,Depan
消耗,しょうもう,Habis
醤油,しょうゆ,Cuka
省略,しょうりゃく,Singkatan
初級,しょきゅう,Pemula
助教授,じょきょうじゅ,Asisten Profesor
食塩,しょくえん,Garam
職人,しょくにん,Pengrajin
初旬,しょじゅん,Awal musim
書籍,しょせき,Buku
食器,しょっき,Piring
ショップ,ショップ,Toko
書店,しょてん,Toko buku
書道,しょどう,Kaligrafi
白髪,しらが,Uban
知合い,しりあい,Kenalan
シリーズ,シリーズ,Seri
私立,しりつ,Swasta
資料,しりょう,Dokumen
汁,しる,Cairan
素人,しろうと,Orang biasa
芯,しん,Inti
新幹線,しんかんせん,Kereta cepat
真空,しんくう,Kosong
信ずる,しんずる,Percaya
心身,しんしん,Mental dan fisik
申請,しんせい,Permohonan
人造,じんぞう,Buatan
寝台,しんだい,Kamar tidur
診断,しんだん,Diagnosis
侵入,しんにゅう,Penyusupan
人文科学,じんぶんかがく,Ilmu Humaniora
人命,じんめい,Nyawa manusia
深夜,しんや,Malam
森林,しんりん,Hutan
親類,しんるい,Kerabat
針路,しんろ,Arah
神話,しんわ,Mitologi
酢,す,Cuka
水産,すいさん,Hasil laut
炊事,すいじ,Memasak
水蒸気,すいじょうき,Uap air
水素,すいそ,Hidrogen
垂直,すいちょく,Vertikal
推定,すいてい,Perkiraan
水滴,すいてき,Tetesan air
水筒,すいとう,Botol air
随筆,ずいひつ,Esai
水分,すいぶん,Air
水平,すいへい,Horizontal
水平線,すいへいせん,Garis lurus
水曜,すいよう,Rabu
ずうずうしい,ずうずうしい,Suka mengganggu
ずうっと,ずうっと,Selama
末っ子,すえっこ,Anak bungsu
スカーフ,スカーフ,Syal
図鑑,ずかん,Buku referensi
杉,すぎ,Sugi
好き嫌い,すききらい,Preferensi dan ketidaksukaan
好き好き,すきずき,Suka-suka
透き通る,すきとおる,Transparan
隙間,すきま,Celah
スクール,スクール,Sekolah
すくなくとも,すくなくとも,setidaknya
図形,ずけい,Bentuk
スケジュール,スケジュール,Jadwal
鈴,すず,Gong
涼む,すずむ,Mendinginkan
スタート,スタート,Mulai
スチュワーデス,スチュワーデス,Stewardess
すっきり,すっきり,Bersih
すっぱい,すっぱい,Bau
ステージ,ステージ,Panggung
棄てる,すてる,Membuang
ストッキング,ストッキング,Kaus kaki
ストップ,ストップ,Berhenti
素直,すなお,Sederhana
頭脳,ずのう,Otak
スピーカー,スピーカー,Pembicara
図表,ずひょう,Grafik
スマート,スマート,Cerdas
住まい,すまい,Rumah
