Kanji,Reading,Indonesian
依頼,いらい,Permintaan
いらいら,いらいら,Kesal
いらっしゃい,いらっしゃい,Silakan masuk
医療,いりょう,Kesehatan
岩,いわ,Batu
祝い,いわい,Perayaan
祝う,いわう,Merayakan
言わば,いわば,Secara harfiah
いわゆる,いわゆる,Yang disebut
インク,インク,Tinta
印刷,いんさつ,Percetakan
印象,いんしょう,Kesan
引退,いんたい,Pensiun
引用,いんよう,Kutipan
ウイスキー,ウイスキー,Whisky
上,うわ,Atas
魚,うお,Ikan
うがい,うがい,Mencuci mulut
伺う,うかがう,Menanyakan
受け取る,うけとる,Menerima
動かす,うごかす,Menggerakkan
兎,うさぎ,Kelinci
牛,うし,Sapi
失う,うしなう,Kehilangan
後,うしろ,Setelah
嘘,うそ,Kebohongan
疑う,うたがう,Meragukan
内,うち,Di dalam
宇宙,うちゅう,Ruang angkasa
撃つ,うつ,Menembak
移す,うつす,Memindahkan
訴える,うったえる,Mengajukan gugatan
うなる,うなる,Menangis
奪う,うばう,Mengambil
馬,うま,Kuda
うまい,うまい,Enak
生まれ,うまれ,Lahir
梅,うめ,梅
裏切る,うらぎる,Pengkhianatan
うるさい,うるさい,Bising
嬉しい,うれしい,Senang
売れる,うれる,Laku
噂,うわさ,Gosip
うん,（感）,Oke
運,うん,Keberuntungan
運転,うんてん,Mengemudi
運動,うんどう,Olahraga
柄,え,Pola
永遠,えいえん,Abadi
永久,えいきゅう,Abadi
影響,えいきょう,Pengaruh
営業,えいぎょう,Penjualan
衛星,えいせい,Satelit
栄養,えいよう,Nutrisi
笑顔,えがお,Senyuman
描く,えがく,Menggambar
餌,えさ,Makanan
エネルギー,エネルギー,Energi
得る,える,Keuntungan
得る,うる,Keuntungan
円,えん,Yen
延期,えんき,Dijadwalkan ulang
演技,えんぎ,Akting
援助,えんじょ,Bantuan
エンジン,エンジン,Mesin
演説,えんぜつ,Pidato
演奏,えんそう,Pertunjukan
遠慮,えんりょ,Menahan diri
御,お,敬
老い,おい,Usia
追い付く,おいつく,Menyusul
王,おう,Raja
追う,おう,Mengejar
王様,おうさま,Raja
王子,おうじ,Putra
応じる,おうじる,Menanggapi
横断,おうだん,Melintang
終える,おえる,Berakhir
大いに,おおいに,Sangat
覆う,おおう,Menutupi
オーバー,オーバー,Terlalu
大家,おおや,Semua orang
丘,おか,Bukit
沖,おき,Di luar
奥,おく,Dalam
贈る,おくる,Memberikan
起こる,おこる,Terjadi
幼い,おさない,Anak-anak
収める,おさめる,Menyimpan
おじいさん,おじいさん,Kakek
おしゃべり,おしゃべり,Berbicara
汚染,おせん,Polusi
おそらく,おそらく,Kemungkinan besar
恐れる,おそれる,Takut
恐ろしい,おそろしい,Menakutkan
お互い,おたがい,Saling
穏やか,おだやか,Tenang
男の人,おとこのひと,Pria
劣る,おとる,Kurang
お腹,おなか,Perut
鬼,おに,Hantu
帯,おび,Sabuk
お昼,おひる,Makan siang
オフィス,オフィス,Kantor
溺れる,おぼれる,Terendam
おまえ,おまえ,Kamu
おめでとう,おめでとう,Selamat
お目に掛,おめにかかる,Bertemu
思い出,おもいで,Kenangan
主に,おもに,Terutama
思わず,おもわず,Tanpa sadar
おや,おや,Aduh
泳ぎ,およぎ,Berenang
およそ,およそ,Sekitar
及ぼす,およぼす,Memengaruhi
居る,おる,Ada
下す,おろす,Menurunkan
降ろす,おろす,Menjatuhkan
終,おわり,Akhir
音,おん,Suara
恩,おん,Kasih
温暖,おんだん,Hangat
温度,おんど,Suhu
可,か,Ya
課,か,Kelas
カー,カー,Mobil
カード,カード,Kartu
会,かい,Pertemuan
回,かい,Putar
害,がい,Kerusakan
会員,かいいん,Anggota
絵画,かいが,Lukisan
海外,かいがい,Internasional
会計,かいけい,Akuntansi
解決,かいけつ,Solusi
会合,かいごう,Pertemuan
外交,がいこう,Hubungan luar negeri
開始,かいし,Mulai
解釈,かいしゃく,Interpretasi
外出,がいしゅつ,Pergi keluar
改善,かいぜん,Peningkatan
快適,かいてき,Nyaman
回復,かいふく,Pemulihan
飼う,かう,Memelihara
替える,かえる,Mengganti
換える,かえる,Menukar
香り,かおり,Aroma
画家,がか,Pelukis
抱える,かかえる,Memegang
価格,かかく,Harga
化学,かがく,Kimia
輝く,かがやく,Berkilau
係,かかり,Karyawan
掛かる,かかる,Memakan waktu
罹る,かかる,Menderita
鍵,かぎ,Kunci
限る,かぎる,Membatasi
描く,かく,Menggambar
家具,かぐ,Perabotan
学,がく,Belajar
額,がく,Ukuran
覚悟,かくご,Persiapan
確実,かくじつ,Pastikan
学者,がくしゃ,Ilmuwan
学習,がくしゅう,Pembelajaran
隠す,かくす,Menyembunyikan
拡大,かくだい,Memperbesar
確認,かくにん,Konfirmasi
学問,がくもん,Ilmu
隠れる,かくれる,Bersembunyi
影,かげ,Bayangan
陰,かげ,Kegelapan
欠ける,かける,Kurang
加減,かげん,Menyesuaikan
過去,かこ,Masa lalu
籠,かご,Sangkar
囲む,かこむ,Membungkus
火災,かさい,Kebakaran
貸し,かし,Sewa
菓子,かし,Makanan manis
家事,かじ,Pekerjaan rumah tangga
賢い,かしこい,Cerdas
歌手,かしゅ,Penyanyi
数,かず,Angka
稼ぐ,かせぐ,Menghasilkan uang
数える,かぞえる,Menghitung
型,かた,Jenis
肩,かた,Bahu
硬い,かたい,Keras
方々,かたがた,Para
刀,かたな,Pedang
語る,かたる,Menceritakan
勝ち,かち,Menang
価値,かち,Nilai
がっかり,がっかり,Kecewa
活気,かっき,Semangat
学期,がっき,Semester
格好,かっこう,Penampilan
活動,かつどう,Kegiatan
活用,かつよう,Memanfaatkan
悲しむ,かなしむ,Menangis
必ずしも,かならずしも,Tidak harus
かなり,かなり,Cukup
金,かね,Emas
金持ち,かねもち,Orang kaya
可能,かのう,Mungkin
株,かぶ,Saham
被る,かぶる,Dipakai
構う,かまう,Perhatikan
我慢,がまん,Kesabaran
上,かみ,Atas
神,かみ,Tuhan
雷,かみなり,Petir
髪の毛,かみのけ,Rambut
科目,かもく,Mata pelajaran
かもしれない,かもしれない,Mungkin
火曜,かよう,Selasa
空,から,Langit
柄,がら,Pola
刈る,かる,Memanen
彼等,かれら,Mereka
川,かわ,Sungai
河,かわ,Sungai
皮,かわ,Kulit
革,かわ,Kulit
かわいそう,かわいそう,Sayang
かわいらしい,かわいらしい,Lucu
缶,かん,Kaleng
勘,かん,Intuisi
考え,かんがえ,Berpikir
感覚,かんかく,Persepsi
観客,かんきゃく,Penonton
環境,かんきょう,Lingkungan
歓迎,かんげい,Selamat datang
観光,かんこう,Wisata
観察,かんさつ,Observasi
感じ,かんじ,Perasaan
感謝,かんしゃ,Terima kasih
患者,かんじゃ,Pasien
勘定,かんじょう,Akuntansi
感情,かんじょう,Emosi
感じる,かんじる,Merasa
感心,かんしん,Terkesan
関心,かんしん,Perhatian
関する,かんする,Tentang
完成,かんせい,Selesai
完全,かんぜん,Sempurna
感動,かんどう,Menyentuh hati
監督,かんとく,Sutradara
管理,かんり,Pengelolaan
完了,かんりょう,Selesai
関連,かんれん,Relevan
議員,ぎいん,Anggota parlemen
記憶,きおく,Kenangan
気温,きおん,Suhu
機械,きかい,Mesin
議会,ぎかい,Dewan Legislatif
期間,きかん,Periode
機関,きかん,Mesin
企業,きぎょう,Perusahaan
効く,きく,Berfungsi
機嫌,きげん,Suasana hati
気候,きこう,Iklim
岸,きし,Koshino
生地,きじ,Bahan
記事,きじ,Artikel
技師,ぎし,Insinyur
記者,きしゃ,Jurnalis
傷,きず,Bekas luka
期待,きたい,Harapan
帰宅,きたく,Kembali ke rumah
貴重,きちょう,Berharga
議長,ぎちょう,Ketua
きちんと,きちんと,Dengan benar
きつい,きつい,ketat
気付く,きづく,Kesadaran
気に入る,きにいる,Menerima
記入,きにゅう,Isi
記念,きねん,Kenang-kenangan
機能,きのう,Fitur
気の毒,きのどく,Berbahaya
寄付,きふ,Donasi
希望,きぼう,Harapan
基本,きほん,Dasar
決まり,きまり,Aturan
気味,きみ,Terasa
奇妙,きみょう,Aneh
義務,ぎむ,Tugas
疑問,ぎもん,Pertanyaan
逆,ぎゃく,Balik
キャプテン,キャプテン,Kapten
キャンプ,キャンプ,Kemping
九,きゅう,Sembilan
旧,きゅう,Bekas
級,きゅう,Kelas
球,きゅう,Bola
休暇,きゅうか,Liburan
休憩,きゅうけい,Istirahat
急激,きゅうげき,Tiba-tiba
吸収,きゅうしゅう,Penyerapan
救助,きゅうじょ,Pertolongan
急速,きゅうそく,Cepat
急に,きゅうに,Tiba-tiba
給料,きゅうりょう,Gaji
器用,きよう,Lincah
教科書,きょうかしょ,Buku teks
競技,きょうぎ,Olahraga
行儀,ぎょうぎ,Perilaku
供給,きょうきゅう,Pasokan
教師,きょうし,Guru
教授,きょうじゅ,Profesor
強調,きょうちょう,Menekankan
共通,きょうつう,Umum
共同,きょうどう,Bersama
恐怖,きょうふ,Ketakutan
協力,きょうりょく,Kerjasama
強力,きょうりょく,Kuat
許可,きょか,Izin
局,きょく,Kantor
巨大,きょだい,Besar
嫌う,きらう,Tidak suka
霧,きり,Kabut
切れ,きれ,Putus
切れる,きれる,Memotong
キロ,キロ,Kilometer
記録,きろく,Catatan
議論,ぎろん,Diskusi
金,きん,Emas
銀,ぎん,Perak
禁煙,きんえん,Tidak merokok
金額,きんがく,Jumlah uang
金庫,きんこ,Lemari Kunci
禁止,きんし,Dilarang
金銭,きんせん,Uang
金属,きんぞく,Logam
近代,きんだい,Modern
緊張,きんちょう,Kekhawatiran
筋肉,きんにく,Otot
金融,きんゆう,Keuangan
金曜,きんよう,Jumat
九,く,Sembilan
句,く,Frasa
食う,くう,Makan
偶然,ぐうぜん,Kejadian tak terduga
臭い,くさい,Bau
鎖,くさり,Rantai
腐る,くさる,Busuk
癖,くせ,Kebiasaan
管,くだ,Pipa
具体,ぐたい,Spesifik
下さる,くださる,Yang Anda lakukan
下り,くだり,Turun
苦痛,くつう,Penderitaan
ぐっすり,ぐっすり,Tidur nyenyak
区別,くべつ,Perbedaan
組,くみ,Kelompok
組合,くみあい,Koperasi
組む,くむ,Merakit
曇,くもり,Berawan
位,くらい,Posisi
暮らし,くらし,Kehidupan
クラシック,クラシック,Klasik
暮らす,くらす,Hidup
グラス,グラス,Gelas
グランド,グランド,Gedung
クリーム,クリーム,Krim
繰り返す,くりかえす,Mengulangi
クリスマス,クリスマス,Natal
狂う,くるう,Gila
グループ,グループ,Kelompok
苦しい,くるしい,Sulit
苦しむ,くるしむ,Menenderita
暮れ,くれ,Akhir musim dingin
苦労,くろう,Kesulitan
加える,くわえる,Menambahkan
詳しい,くわしい,Rinci
加わる,くわわる,Bergabung
訓,くん,Pelatihan
軍,ぐん,Militer
軍隊,ぐんたい,Angkatan militer
訓練,くんれん,Pelatihan
下,げ,Bawah
計,けい,Perhitungan
敬意,けいい,Hormat
経営,けいえい,Manajemen
計画,けいかく,Rencana
景気,けいき,Kondisi ekonomi
経験,けいけん,Pengalaman
傾向,けいこう,Tren
警告,けいこく,Peringatan
計算,けいさん,Perhitungan
掲示,けいじ,Pengumuman
刑事,けいじ,Polisi
芸術,げいじゅつ,Seni
契約,けいやく,Kontrak
経由,けいゆ,Melalui
ケース,ケース,Kasus
ゲーム,ゲーム,Game
怪我,けが,Cedera
劇,げき,Drama
劇場,げきじょう,Teater
化粧,けしょう,Kosmetik
けち,けち,hemat
結果,けっか,Hasil
欠陥,けっかん,Cacat
結局,けっきょく,Pada akhirnya
決心,けっしん,Keputusan
欠席,けっせき,Tidak hadir
決定,けってい,Keputusan
欠点,けってん,Kelemahan
月曜,げつよう,Senin
結論,けつろん,Kesimpulan
煙,けむり,Asap
券,けん,Tiket
県,けん,Kabupaten
軒,けん,Atap
喧嘩,けんか,Pertengkaran
見解,けんかい,Pendapat
限界,げんかい,Batas
現金,げんきん,Uang tunai
言語,げんご,Bahasa
健康,けんこう,Kesehatan
検査,けんさ,Pemeriksaan
現在,げんざい,Saat ini
現実,げんじつ,Nyata
現象,げんしょう,Fenomena
現状,げんじょう,Kondisi saat ini
建設,けんせつ,Pembangunan
現代,げんだい,Abad ke-21
建築,けんちく,Arsitektur
見当,けんとう,Perkiraan
検討,けんとう,Pertimbangan
現場,げんば,Lokasi
憲法,けんぽう,Konstitusi
権利,けんり,Hak
後,ご,Setelah
語,ご,Kata
恋,こい,Cinta
濃い,こい,Gelap
恋人,こいびと,Pasangan
幸運,こううん,Semoga berhasil
講演,こうえん,Pidato
効果,こうか,Efek
硬貨,こうか,Koin
高価,こうか,Mahal
豪華,ごうか,Megah
合格,ごうかく,Lulus
交換,こうかん,Pertukaran
航空,こうくう,Aviasi
光景,こうけい,Pemandangan
合計,ごうけい,Total
攻撃,こうげき,Serangan
貢献,こうけん,Kontribusi
広告,こうこく,Iklan
交際,こうさい,Hubungan
後者,こうしゃ,Yang kedua
工場,こうば,Pabrik
構成,こうせい,Struktur
高速,こうそく,Cepat
行動,こうどう,Perilaku
強盗,ごうとう,Pencurian
幸福,こうふく,Kebahagiaan
公平,こうへい,Keadilan
候補,こうほ,Calon
考慮,こうりょ,Pertimbangan
越える,こえる,Melewati
コーチ,コーチ,Pelatih
コード,コード,Kode
氷,こおり,Es
凍る,こおる,Beku
ゴール,ゴール,Tujuan
誤解,ごかい,Kesalahpahaman
語学,ごがく,Bahasa
呼吸,こきゅう,Bernapas
故郷,こきょう,Rumah
極,ごく,Ekstrem
国語,こくご,Bahasa Nasional
黒板,こくばん,Papan tulis
克服,こくふく,Mengatasi
国民,こくみん,Warga negara
穀物,こくもつ,Bahan pokok
ここ,ここ,Di sini
腰,こし,Perut
故障,こしょう,Kerusakan
個人,こじん,Individu
越す,こす,Menyeberang
国家,こっか,Negara
国会,こっかい,Parlemen
国境,こっきょう,Perbatasan
骨折,こっせつ,Fraktur
小包,こづつみ,Paket kecil
事,こと,Hal
異なる,ことなる,Berbeda
諺,ことわざ,Amsal
断る,ことわる,Menolak
粉,こな,Bubuk
この,この,Ini
好み,このみ,Preferensi
好む,このむ,Suka
コピー,コピー,Salinan
塵,ごみ,Debu
小麦,こむぎ,Gandum
ごめんなさい,ごめんなさい,Maaf
小屋,こや,Gubuk
これら,これら,Ini
頃,ころ,Sekitar
殺す,ころす,membunuh
転ぶ,ころぶ,Terjatuh
今回,こんかい,Saat ini
今後,こんご,Di masa depan
混雑,こんざつ,Padat
こんなに,こんなに,Seperti ini
困難,こんなん,Kesulitan
今日,こんにち,Hari ini
こんにちは,こんにちは,Halo
コンピューター,コンピューター,Komputer
婚約,こんやく,Pernikahan
混乱,こんらん,Kebingungan
差,さ,Perbedaan
サービス,サービス,Layanan
際,さい,Saat
最高,さいこう,Terbaik
財産,ざいさん,Aset
最終,さいしゅう,Akhir
最中,さいちゅう,Adonan
最低,さいてい,Minimal
才能,さいのう,Bakat
裁判,さいばん,Pengadilan
材料,ざいりょう,Bahan
幸い,さいわい,Beruntung
サイン,サイン,Tanda tangan
境,さかい,Lingkungan
逆らう,さからう,Menentang
盛り,さかり,Meriah
作業,さぎょう,Pekerjaan
昨,さく,Kemarin
作品,さくひん,Karya
作物,さくもつ,Tanaman
桜,さくら,Sakura
酒,さけ,Minuman keras
叫ぶ,さけぶ,Berteriak
避ける,さける,Menghindari
支える,ささえる,Mendukung
指す,さす,Menunjuk
座席,ざせき,Kursi
誘う,さそう,Membujuk
札,さつ,Uang kertas
作家,さっか,Penulis
作曲,さっきょく,Komposisi
ざっと,ざっと,Singkatnya
さっぱり,さっぱり,Segar
さて,さて,Baiklah
砂漠,さばく,Gurun
差別,さべつ,Diskriminasi
作法,さほう,Aturan
様々,さまざま,Beragam
覚ます,さます,Membangunkan
覚める,さめる,Belajar
左右,さゆう,Kiri dan kanan
皿,さら,Piring
更に,さらに,Lebih lanjut
去る,さる,Kemarin
猿,さる,Monyet
騒ぎ,さわぎ,Kebisingan
参加,さんか,Berpartisipasi
参考,さんこう,Referensi
賛成,Uӣ[い,Setuju
酸素,さんそ,Oksigen
散歩,さんぽ,Jalan-jalan
四,し,Empat
氏,し,Nama
詩,し,Puisi
幸せ,しあわせ,Bahagia
ジーンズ,ジーンズ,Celana jeans
ジェット,ジェットき,Jet
直に,じかに,Segera
しかも,しかも,Selain itu
叱る,しかる,Memarahi
式,しき,Persamaan
直,じき,Langsung
時期,じき,Waktu
支給,しきゅう,Pembayaran
しきりに,しきりに,terus-menerus
刺激,しげき,Memicu
資源,しげん,Sumber daya
事件,じけん,Kejadian
時刻,じこく,Waktu
自殺,じさつ,Bunuh diri
事実,じじつ,Fakta
支出,ししゅつ,Pengeluaran
事情,じじょう,Situasi
詩人,しじん,Penyair
自身,じしん,Diri sendiri
沈む,しずむ,Menenggelam
自然,しぜん,Alam
思想,しそう,Pemikiran
舌,した,Lidah
次第,しだい,Tahap
事態,じたい,Situasi
従う,したがう,Mengikuti
したがっ,したがって,Mengikuti
支度,したく,Persiapan
親しい,したしい,Dekat
七,しち,Tujuh
質,しつ,Kualitas
失業,しつぎょう,Pengangguran
実験,じっけん,Eksperimen
実現,じつげん,Realisasi
実行,じっこう,Eksekusi
実際,じっさい,Sebenarnya
実施,じっし,Melaksanakan
じっと,じっと,Diam
実に,じつに,Sungguh
実は,じつは,Sebenarnya
失望,しつぼう,Kecewa
支店,してん,Cabang
指導,しどう,Pengarahan
自動,じどう,Otomatis
品,しな,Produk
支配,しはい,Penguasaan
芝居,しばい,Pertunjukan
しばしば,しばしば,Kadang-kadang
芝生,しばふ,Lapangan rumput
支払,しはらい,Pembayaran
支払う,しはらう,Membayar
死亡,しぼう,Kematian
資本,しほん,Modal
しまい,（終わり）,Akhir
姉妹,しまい,Saudara perempuan
しまう,（終わる）,Menjadi
しまった,（感）,Selesai
自慢,じまん,Kebanggaan
事務,じむ,Administrasi
示す,しめす,Menunjukkan
占める,しめる,Menempati
下,しも,Bawah
霜,しも,Embun beku
じゃあ,じゃあ,Baiklah
借金,しゃっきん,Utang
しゃべる,しゃべる,Berbicara
邪魔,じゃま,Gangguan
週,しゅう,Minggu
州,しゅう,Provinsi
十,じゅう,Sepuluh
銃,じゅう,Senjata
周囲,しゅうい,Sekitar
収穫,しゅうかく,Panen
週間,しゅうかん,Mingguan
宗教,しゅうきょう,Agama
重視,じゅうし,Menekankan
就職,しゅうしょく,Pekerjaan
ジュース,ジュース,Jus
修正,しゅうせい,Perbaikan
渋滞,じゅうたい,Kemacetan
重大,じゅうだい,Serius
住宅,じゅうたく,Perumahan
集団,しゅうだん,Kelompok
集中,しゅうちゅう,Fokus
収入,しゅうにゅう,Pendapatan
住民,じゅうみん,Warga
重要,じゅうよう,Penting
修理,しゅうり,Perbaikan
主義,しゅぎ,Ideologi
宿泊,しゅくはく,Akomodasi
手術,しゅじゅつ,Operasi
首相,しゅしょう,Perdana Menteri
手段,しゅだん,Alat
主張,しゅちょう,Pernyataan
出身,しゅっしん,Asal
出席,しゅっせき,Kehadiran
出発,しゅっぱつ,Keberangkatan
出版,しゅっぱん,Penerbitan
首都,しゅと,Ibu kota
主婦,しゅふ,Ibu rumah tangga
主要,しゅよう,Penting
需要,じゅよう,Kebutuhan
種類,しゅるい,Jenis
順,じゅん,Urutan
瞬間,しゅんかん,Momen
順調,じゅんちょう,Baik-baik
順番,じゅんばん,Urutan
準備,じゅんび,Persiapan
使用,しよう,Penggunaan
小,しょう,Kecil
章,しょう,Bab
賞,しょう,Penghargaan
上,じょう,Atas
障害,しょうがい,Cacat
奨学金,しょうがくきん,Beasiswa
乗客,じょうきゃく,Penumpang
上京,じょうきょう,Pergi ke Tokyo
状況,じょうきょう,Situasi
条件,じょうけん,Kondisi
正午,しょうご,Siang
正直,しょうじき,Jujur
常識,じょうしき,Norma-norma umum
少女,しょうじょ,Anak perempuan
少々,しょうしょう,Sedikit
症状,しょうじょう,Gejala
生じる,しょうじる,Muncul
招待,しょうたい,Undangan
状態,じょうたい,Kondisi
上達,じょうたつ,Kemajuan
冗談,じょうだん,Bercanda
承知,しょうち,"Baik, saya mengerti."
上等,じょうとう,Baik
衝突,しょうとつ,Tabrakan
商人,しょうにん,Pedagang
承認,しょうにん,Disetujui
少年,しょうねん,Anak laki-laki
商売,しょうばい,Bisnis
消費,しょうひ,Konsumsi
商品,しょうひん,Produk
消防,しょうぼう,Pemadam Kebakaran
情報,じょうほう,Informasi
証明,しょうめい,Bukti
女王,じょおう,Ratu
職,しょく,Pekerjaan
職業,しょくぎょう,Pekerjaan
食事,しょくじ,Makanan
食卓,しょくたく,Meja makan
食品,しょくひん,Makanan
植物,しょくぶつ,Tanaman
食物,しょくもつ,Makanan
食欲,しょくよく,nafsu makan
食料,しょくりょう,Makanan
食糧,しょくりょう,Makanan
書斎,しょさい,Ruang baca
女子,じょし,Perempuan
助手,じょしゅ,Asisten
徐々に,じょじょに,Secara bertahap
署名,しょめい,Tanda tangan
書物,しょもつ,Buku
女優,じょゆう,Aktris
処理,しょり,Pemrosesan
書類,しょるい,Dokumen
知らせ,しらせ,Pemberitahuan
尻,しり,Anus
印,しるし,Tanda
城,しろ,Kastil
進学,しんがく,Masuk sekolah tinggi
神経,しんけい,Saraf
真剣,しんけん,Serius
信仰,しんこう,Kepercayaan
信号,しんごう,Sinyal
人工,じんこう,Buatan
深刻,しんこく,Serius
診察,しんさつ,Pemeriksaan
人種,じんしゅ,Ras
信じる,しんじる,Percaya
人生,じんせい,Kehidupan
親戚,しんせき,Keluarga jauh
新鮮,しんせん,Segar
心臓,しんぞう,Jantung
身体,しんたい,Tubuh
身長,しんちょう,Tinggi
慎重,しんちょう,Hati-hati
心配,しんぱい,Khawatir
審判,しんぱん,Putusan
人物,じんぶつ,Orang-orang
進歩,しんぽ,Kemajuan
親友,しんゆう,Teman dekat
信用,しんよう,Kepercayaan
信頼,しんらい,Kepercayaan
心理,しんり,Psikologi
人類,じんるい,Manusia
巣,す,Sarang
図,ず,Gambar
水準,すいじゅん,Tingkat
推薦,すいせん,Rekomendasi
スイッチ,スイッチ,Sakelar
随分,ずいぶん,Lumayan
睡眠,すいみん,Tidur
数,すう,Angka
数字,すうじ,Angka
スープ,スープ,Sup
末,すえ,Akhir
姿,すがた,Penampilan
スキー,スキー,Ski
空く,すく,Angin
救う,すくう,Menyelamatkan
優れる,すぐれる,Unggul
スケート,スケート,Skate
すごい,すごい,Hebat
少しも,すこしも,Sedikit saja
過ごす,すごす,Menghabiskan
筋,すじ,Otot
進める,すすめる,Melanjutkan
勧める,すすめる,Mengingatkan
スター,スター,Bintang
スタイル,スタイル,Gaya
スタンド,スタンド,Stand
頭痛,ずつう,Sakit kepala
ずっと,ずっと,Selalu
すてき,すてき,Menyenangkan
既に,すでに,Sudah
すなわち,すなわち,Dengan kata lain
素晴らし,すばらしい,Luar biasa
スピーチ,スピーチ,Pidato
全て,すべて,Semua
済ませる,すませる,Menyelesaikan
角,すみ,Sudut
すみませ,（感）,Permisi
為る,する,Untuk
すると,すると,Maka
鋭い,するどい,Tajam
背,せい,Punggung
正,せい,Benar
生,せい,Hidup
性,せい,Seks
所為,せい,Artinya
税,ぜい,Pajak
性格,せいかく,Kepribadian
正確,せいかく,Akurat
世紀,せいき,Abad
請求,せいきゅう,Permintaan
税金,ぜいきん,Pajak
清潔,せいけつ,Bersih
制限,せいげん,Batasan
成功,せいこう,Sukses
生産,せいさん,Produksi
正式,せいしき,Resmi
精神,せいしん,Jiwa
成人,せいじん,Dewasa
精々,せいぜい,Sangat
成績,せいせき,Nilai
製造,せいぞう,Produksi
贅沢,ぜいたく,Kemewahan
成長,せいちょう,Pertumbuhan
制度,せいど,Sistem
青年,せいねん,Pemuda
製品,せいひん,Produk
政府,せいふ,Pemerintah
生物,せいぶつ,Makhluk hidup
生命,せいめい,Kehidupan
整理,せいり,Mengatur
咳,せき,Batuk
石炭,せきたん,Batu bara
責任,せきにん,Tanggung jawab
石油,せきゆ,Bahan bakar minyak
世間,せけん,Dunia
説,せつ,Penjelasan
積極的,せっきょくてき,Proaktif
設計,せっけい,Desain
絶対,ぜったい,Mutlak
セット,セット,Set
設備,せつび,Peralatan
絶滅,ぜつめつ,Punah
節約,せつやく,Hemat
是非,ぜひ,Harap
責める,せめる,Menyalahkan
世話,せわ,Perawatan
善,ぜん,Baik
全,ぜん,Semua
全員,ぜんいん,Semua
専攻,せんこう,Jurusan
全国,ぜんこく,Nasional
先日,せんじつ,Baru-baru ini
