Kanji,Reading,Indonesian
怒る,いかる,Marah
歪む,いがむ,Miring
粋,いき,Elegan
域外,いきがい,Di luar wilayah
意気込む,いきごむ,Bersemangat
経緯,いきさつ,Latar Belakang
行き違い,いきちがい,Perbedaan
行き成り,いきなり,Saling
異議,いぎ,Penolakan
いく,いく,Baik
軍,いくさ,Militer
戦,いくさ,Perang
育成,いくせい,Pengembangan
幾多,いくた,Beberapa
活ける,いける,Hidup
異見,いけん,Menentang
意向,いこう,Keinginan
移行,いこう,Transisi
いざ,いざ,Saatnya
碑,いしぶみ,Plafon
衣装,いしょう,Pakaian
意地,いじ,Kehormatan
苛める,いじめる,meremehkan
移住,いじゅう,Imigrasi
弄る,いじる,Bermain-main
何れ,いずれ,Salah satu
異性,いせい,Orang dari jenis kelamin yang berbeda
遺跡,いせき,Reruntuhan
依然,いぜん,Masih
依存,いそん,Ketergantungan
委託,いたく,Penyerahan
悪戯,いたずら,Bermain-main
頂,いただき,Puncak
戴きます,いただきます,Saya akan memakainya
至って,いたって,Pada dasarnya
痛む,いたむ,Sakit
痛める,いためる,Merusak
炒める,いためる,Memasak
労る,いたわる,Bekerja keras
市,いち,Kota
位地,いち,Lokasi
一々,いちいち,Satu per satu
一概に,いちがいに,Secara umum
一見,いちげん,Pada pandangan pertama
一言,いちげん,Satu kata
一日,いちじつ,Satu hari
一定,いちじょう,Tentu
著しい,いちじるしい,Signifikan
一同,いちどう,Bersama
一人,いちにん,Satu orang
一部,いちぶ,Sebagian
一部分,いちぶぶん,Sebagian
一別,いちべつ,Selamat tinggal
一面,いちめん,Satu sisi
一目,いちもく,Satu pandangan
一様,いちよう,Seragam
一律,いちりつ,Secara umum
一連,いちれん,Serangkaian
一括,いっかつ,Secara massal
一気,いっき,Sekali
一挙に,いっきょに,Secara bersamaan
一切,いっさい,Tidak ada
一心,いっしん,Satu hati
いっそ,いっそ,Sebaiknya
一帯,いったい,Sebuah baris
一敗,いっぱい,Kalah
一変,いっぺん,Perubahan total
何時,いつ,Kapan
何時か,いつか,Suatu saat
何時でも,いつでも,Kapan saja
何時の間にか,いつのまにか,Dalam waktu berapa
何時までも,いつまでも,Selamanya
何時も,いつも,Selalu
意図,いと,Niat
営む,いとなむ,Melakukan
暇,いとま,Waktu luang
異動,いどう,Pemindahan
挑む,いどむ,Mencoba
稲光,いなびかり,Kilatan petir
古,いにしえ,Kuno
祈り,いのり,Doa
鼾,いびき,Mengorok
今更,いまさら,Sekarang juga
未だ,いまだ,Masih
移民,いみん,Imigran
厭々,いやいや,Menolak
卑しい,いやしい,rendah
いやに,いやに,Sangat
厭やらしい,いやらしい,Tidak suka
愈々,いよいよ,Akhirnya
意欲,いよく,Semangat
苛々,いらいら,Kekesalan
入口,いりくち,Pintu masuk
衣料,いりょう,Pakaian
威力,いりょく,Daya
入る,いる,Masuk
衣類,いるい,Pakaian
色々,いろいろ,Berbagai
異論,いろん,Pendapat yang berbeda
所謂,いわゆる,Yang disebut
印,いん,Tanda
員,いん,Anggota
印鑑,いんかん,Cap jari
陰気,いんき,Suram
隠居,いんきょ,Pensiun
上下,うえした,Atas dan bawah
浮かぶ,うかぶ,Mengambang
受かる,うかる,Berhasil
含嗽,うがい,Mencuci mulut
受け入れ,うけいれ,Penerimaan
受け入れる,うけいれる,Menerima
受け継ぐ,うけつぐ,Meneruskan
受け付ける,うけつける,Menerima
受け止める,うけとめる,Menerima
受け取り,うけとり,Penerimaan
受身,うけみ,Menerima
動き,うごき,Gerakan
潮,うしお,Pasang surut
氏,うじ,Nama
渦,うず,Putaran
埋まる,うずまる,Terendam
嘘つき,うそつき,Palsu
打ち合わせ,うちあわせ,Pertemuan
打ち合わせる,うちあわせる,berdiskusi
打ち切る,うちきる,Memutuskan
打ち消し,うちけし,Pembatalan
打ち込む,うちこむ,Memasukkan
団扇,うちわ,Bendera
内訳,うちわけ,Rincian
訴え,うったえ,Gugatan
鬱陶しい,うっとうしい,Mengganggu
写し,うつし,Salinan
空ろ,うつろ,Kosong
器,うつわ,Perangkat
雨天,うてん,Cuaca buruk
腕前,うでまえ,Kemampuan
饂飩,うどん,Mie udon
促す,うながす,Mendorong
唸る,うなる,Berderit
自惚れ,うぬぼれ,Kesombongan
甘い,うまい,Manis
生まれつき,うまれつき,Lahir dengan
海路,うみじ,Melalui laut
産む,うむ,Melahirkan
埋め込む,うめこむ,Memasukkan
梅干,うめぼし,Asam Yamanu
末,うら,Akhir
裏返し,うらがえし,Membalik
売り出し,うりだし,Penjualan
売り出す,うりだす,Menawarkan
潤う,うるおう,Berkilau
五月蝿い,うるさい,Berisik
売れ行き,うれゆき,Penjualan
浮気,うわき,Perselingkuhan
上手,うわて,Mahir
上回る,うわまわる,Melebihi
植わる,うわる,Tumbuh
運営,うんえい,Operasi
うんざり,うんざり,Frustrasi
運送,うんそう,Pengiriman
運賃,うんちん,Biaya pengiriman
云々,うんぬん,"Ya, ya, atau seperti itu."
運搬,うんぱん,Pengangkutan
運命,うんめい,Takdir
運輸,うんゆ,Transportasi
運用,うんよう,Operasi
会,え,Pertemuan
重,え,Berat
えい,えい,Hai
映写,えいしゃ,Tayangan
英字,えいじ,Bahasa Inggris
衛生,えいせい,Kebersihan
映像,えいぞう,Gambar
英雄,えいゆう,Pahlawan
液,えき,Cairan
役,えき,Peran
閲覧,えつらん,Penelusuran
獲物,えもの,Target
襟,えり,Kerah
縁,えん,Ikatan
塩,えん,Garam
艶,えん,Kilau
園,えん,Taman
円滑,えんかつ,Mulus
縁側,えんがわ,Teras
沿岸,えんがん,Pantai
婉曲,えんきょく,Berputar-putar
演習,えんしゅう,Latihan
演出,えんしゅつ,Direksi
演じる,えんじる,Bermain
演ずる,えんずる,Bermain
沿線,えんせん,Area sepanjang jalur kereta api
縁談,えんだん,Pernikahan
遠方,えんぽう,Jauh
円満,えんまん,Harmoni
尾,お,Ekor
於,お,Pada
甥,おい,Keponakan
追い込む,おいこむ,Mendorong
美味しい,おいしい,Enak
追い出す,おいだす,Mengusir
於いて,おいて,Saat ini
お出でになる,おいでになる,Menghadiri
老いる,おいる,Menua
負う,おう,Menyerah
応急,おうきゅう,Pertolongan pertama
黄金,おうごん,Emas
黄色,おうしょく,Kuning
応募,おうぼ,Pendaftaran
おおい,おおい,Besar
大方,おおかた,Umumnya
大柄,おおがら,Besar
大げさ,おおげさ,Berlebihan
大事,おおごと,Penting
大ざっぱ,おおざっぱ,Tidak sopan
大筋,おおすじ,Tulang utama
大空,おおぞら,Daikyo
大幅,おおはば,Signifikan
大水,おおみず,Air deras
公,おおやけ,Público
お蔭,おかげ,Berkat
お蔭様で,おかげさまで,Berkat Anda
可笑しい,おかしい,Lucu
犯す,おかす,Melakukan
侵す,おかす,Menyerang
お菜,おかず,Sayuran
臆病,おくびょう,Pemalu
遅らす,おくらす,Menunda
遅れ,おくれ,Keterlambatan
起こす,おこす,Memicu
行い,おこない,Perbuatan
厳か,おごそか,"Formal, serius"
傲る,おごる,Sombong
長,おさ,Panjang
押さえる,おさえる,Menahan
お先に,おさきに,Sebelum saya pergi
収まる,おさまる,Masuk
納まる,おさまる,Menyesuaikan diri
治まる,おさまる,Sembuh
お産,おさん,Persalinan
教え,おしえ,Ajarkan
押し込む,おしこむ,Memasukkan
惜しむ,おしむ,Menyesal
お喋り,おしゃべり,Percakapan
お洒落,おしゃれ,Bergaya
押し寄せる,おしよせる,Membombardir
お祖父さん,おじいさん,Kakek
お邪魔します,おじゃまします,"Maaf, saya mengganggu."
雄,おす,Jantan
お世辞,おせじ,Pujian
襲う,おそう,Menyerang
遅くとも,おそくとも,Setidaknya
恐らく,おそらく,Mungkin
恐れ,おそれ,Ketakutan
恐れ入る,おそれいる,Mohon maaf
お大事に,おだいじに,Semoga cepat sembuh
煽てる,おだてる,Terbakar
落ち込む,おちこむ,Sedih
落ち着き,おちつき,Ketenangan
落ち葉,おちば,Daun-daun kering
落ちる,おちる,jatuh
おっかない,おっかない,Menjijikkan
仰っしゃる,おっしゃる,Seperti yang Anda katakan
乙,おつ,乙
お使い,おつかい,Untuk Anda
お手上げ,おてあげ,Menyerah
御手洗い,おてあらい,Toilet
弟,おと,Kakak laki-laki
落とす,おとす,Melepas
訪れる,おとずれる,Mengunjungi
大人しい,おとなしい,Dewasa
少女,おとめ,Anak perempuan
お供,おとも,Pendampingan
衰える,おとろえる,Menurun
おどおど,おどおど,Canggung
脅かす,おどかす,Mengancam
脅す,おどす,Mengancam
驚き,おどろき,Kaget
同い年,おないどし,Usia yang sama
女子,おなご,Perempuan
お願いします,おねがいします,Mohon
各,おのおの,Setiap
自ずから,おのずから,Secara alami
お早う,おはよう,Selamat pagi
お祖母さん,おばあさん,Nenek
怯える,おびえる,Takut
夥しい,おびただしい,Mahal
帯びる,おびる,Memakai
覚え,おぼえ,Ingat
御負け,おまけ,Sebagai balas jasa
お巡りさん,おまわりさん,Petugas keamanan
お宮,おみや,Tempat Ibadah
お襁褓,おむつ,Pop bayi
お目出度う,おめでとう,Selamat pagi
面,おも,Wajah
思い付き,おもいつき,Ide mendadak
面白い,おもしろい,Lucu
玩具,おもちゃ,Mainan
重なる,おもなる,Menumpuk
趣,おもむき,Minat
赴く,おもむく,Pergi
重役,おもやく,Jabatan penting
重んじる,おもんじる,Menghargai
重んずる,おもんずる,Menghargai
お休み,おやすみ,Libur
お八,おやつ,Om-pa
凡そ,およそ,Sekitar
及び,および,dan juga
及ぶ,およぶ,Menerjang
織,おり,Menenun
檻,おり,Penjara
折り返す,おりかえす,Melipat
織物,おりもの,Tekstil
織る,おる,Menjahit
俺,おれ,Saya
愚か,おろか,Bodoh
疎か,おろそか,Jarang
終わる,おわる,Berakhir
音色,おんいろ,Suara
温和,おんわ,Lembut
仮,か,Sementara
科,か,Cabang
個,か,buah
下位,かい,Bawah
階,かい,Lantai
改悪,かいあく,Perkembangan yang buruk
海運,かいうん,Perdagangan maritim
改革,かいかく,Reformasi
貝殻,かいがら,Cangkang kerang
階級,かいきゅう,Kelas
海峡,かいきょう,Selat
会見,かいけん,Konferensi
介護,かいご,Perawatan
開催,かいさい,Acara
回収,かいしゅう,Pengambilan kembali
改修,かいしゅう,Perbaikan
怪獣,かいじゅう,Monster
解除,かいじょ,Menghapus
回送,かいそう,Pengiriman
階層,かいそう,Lapisan
開拓,かいたく,Penerbangan
会談,かいだん,Pertemuan
改定,かいてい,Revisi
改訂,かいてい,Revisi
街道,かいどう,Jalan
介入,かいにゅう,Intervensi
開発,かいはつ,Pengembangan
海抜,かいばつ,Ketinggian
介抱,かいほう,Menyediakan bantuan
解剖,かいぼう,Anatomi
回覧,かいらん,Pengumuman
海流,かいりゅう,Arus laut
改良,かいりょう,Perbaikan
回路,かいろ,Lingkungan
顧みる,かえりみる,Mempertimbangkan
省みる,かえりみる,Menghemat
返る,かえる,Kembali
顔付き,かおつき,Wajah
掲げる,かかげる,Menyematkan
踵,かかと,Bagian belakang kaki
係り,かかり,Hubungan
課外,かがい,Di luar sekolah
書き取り,かきとり,Menulis
書き取る,かきとる,Menulis
掻き回す,かきまわす,Menggilas
欠く,かく,Tidak ada
角,かく,Sudut
核,かく,Inti
格,かく,Harga
佳句,かく,Kalimat indah
画,かく,Lukisan
格差,かくさ,Kesenjangan
拡散,かくさん,Penyebaran
各種,かくしゅ,Berbagai macam
隔週,かくしゅう,Setiap dua minggu
確信,かくしん,Keyakinan
革新,かくしん,Inovasi
確定,かくてい,Konfirmasi
獲得,かくとく,Mendapatkan
確保,かくほ,Memastikan
革命,かくめい,Revolusi
確立,かくりつ,Mendirikan
賭け,かけ,Taruhan
掛け,かけ,"Menyandarkan, Menempelkan"
駆け足,かけあし,Dengan cepat
家計,かけい,Keuangan rumah tangga
駆けっこ,かけっこ,Balapan
駆ける,かける,Berkendara
賭ける,かける,Taruhan
ヶ月,かげつ,Bulan
加工,かこう,Pemrosesan
化合,かごう,Senyawa kimia
嵩張る,かさばる,Memakan tempat
嵩む,かさむ,Meningkat
風車,かざぐるま,Kincir Angin
畏まりました,かしこまりました,"Baik, dimengerti."
華奢,かしゃ,"Eleg, halus"
箇所,かしょ,Bagian
火傷,かしょう,Luka bakar
箇条書き,かじょうがき,Daftar poin
噛る,かじる,Mengunyah
微か,かすか,Halus
霞む,かすむ,Kabur
化する,かする,Berubah
擦る,かする,Menggosok
火星,かせい,Mars
化石,かせき,Fosil
河川,かせん,Sungai
化繊,かせん,Bahan sintetis
過疎,かそ,Populasi yang jarang
過多,かた,Berlebihan
難い,かたい,Sulit
片思い,かたおもい,Saling membantu
敵,かたき,Musuh
気質,かたぎ,Temperamen
片言,かたこと,Berbicara dengan cara yang tidak lengkap
片付け,かたづけ,Membersihkan
傾く,かたぶく,Miring
傾ける,かたむける,Mengarahkan
固める,かためる,Memperkuat
偏る,かたよる,Mencoba
傍ら,かたわら,Di samping
課題,かだい,Tugas
花壇,かだん,Taman bunga
家畜,かちく,Hewan ternak
画期,かっき,Momen penting
活発,かっぱつ,Aktif
且つ,かつ,Selain itu
割,かつ,Memotong
嘗て,かつて,Dulu
日付,かづけ,Tanggal
門,かど,Gerbang
叶う,かなう,Terwujud
叶える,かなえる,Mewujudkan
金槌,かなづち,Palu
鉄棒,かなぼう,Tongkat besi
可成,かなり,Potensial
加入,かにゅう,Bergabung
金庫,かねぐら,Lemari Kunci
予言,かねごと,Ramalan
兼ねて,かねて,Sejak dulu
下番,かばん,Giliran bawah
下品,かひん,Tidak sopan
華美,かび,Megah
花粉,かふん,Serbuk sari
株式,かぶしき,Saham
気触れる,かぶれる,Merasa dengan sentuhan
貨幣,かへい,Uang
構え,かまえ,Posisi
構える,かまえる,Menghalangi
加味,かみ,Menambah bahan
噛み切る,かみきる,Menggigit
過密,かみつ,Padat
瓶,かめ,Botol
かも知れない,かもしれない,Mungkin
粥,かゆ,Bubur
痒い,かゆい,Gatal
揶揄う,からかう,meremehkan
身体,からだ,Tubuh
体付き,からだつき,Berbentuk
絡む,からむ,Terlibat
借り,かり,Pinjaman
下吏,かり,Penjaga
加留多,かるた,Kaduta
涸れる,かれる,Kering
過労,かろう,Kelelahan
辛うじて,かろうじて,Hampir
側,かわ,Sisi
可愛い,かわいい,Lucu
可愛がる,かわいがる,Menyenangkan
可哀想,かわいそう,Sayang
可愛らしい,かわいらしい,Lucu
交わす,かわす,Menukar
代わる,かわる,Sebagai pengganti
代わる代わる,かわるがわる,Saling bergantian
乾,かん,Kering
管,かん,Pipa
幹,かん,Kepala
冠,かん,Mahkota
観,かん,Menonton
館,かん,Gedung
簡易,かんい,Sederhana
感慨,かんがい,Perasaan
寒気,かんき,Dingin
簡潔,かんけつ,Singkat
還元,かんげん,Pengembalian
刊行,かんこう,Penerbitan
慣行,かんこう,Praktik
勧告,かんこく,Rekomendasi
看護,かんご,Perawatan
漢語,かんご,Bahasa Mandarin
換算,かんさん,Konversi
監視,かんし,Pengawasan
慣習,かんしゅう,Kebiasaan
観衆,かんしゅう,Penonton
干渉,かんしょう,Interferensi
感触,かんしょく,Sentuhan
肝心,かんじん,Penting
歓声,かんせい,Sorak-sorai
感染,かんせん,Infeksi
幹線,かんせん,Jalur utama
関税,かんぜい,Pajak ekspor
簡素,かんそ,Sederhana
観点,かんてん,Sudut pandang
感度,かんど,Sensitivitas
幹部,かんぶ,Pimpinan
勘弁,かんべん,Maafkan
完璧,かんぺき,Sempurna
感無量,かんむりょう,Terharu
勧誘,かんゆう,Penawaran
関与,かんよ,Terlibat
慣用,かんよう,Idiom
寛容,かんよう,Kesabaran
観覧,かんらん,Menonton
官僚,かんりょう,Birokrat
慣例,かんれい,Kebiasaan
還暦,かんれき,Meningkat usia
貫禄,かんろく,Kekuatan
緩和,かんわ,Mengurangi
蓋,がい,Tutup
街,がい,Kota
外貨,がいか,Mata uang asing
外観,がいかん,Penampilan
外相,がいしょう,Menteri Luar Negeri
害する,がいする,Merugikan
概説,がいせつ,Ringkasan
該当,がいとう,Tidak ada teks yang diberikan.
街頭,がいとう,Di jalan
概念,がいねん,Konsep
外来,がいらい,Rawat Jalan
概略,がいりゃく,Ringkasan
学芸,がくげい,Ilmu
学士,がくし,Sarjana
学説,がくせつ,Teori
楽譜,がくふ,Partitur
学歴,がくれき,Pendidikan
崖,がけ,Jurang
雅致,がち,Anggun
がっくり,がっくり,hancur
合唱,がっしょう,Paduan suara
がっしり,がっしり,Kokoh
合致,がっち,Sesuai
がっちり,がっちり,Kokoh
月日,がっぴ,Tanggal
合併,がっぺい,Penggabungan
がる,がる,Garu
側,がわ,Sisi
癌,がん,Kanker
眼科,がんか,Optometri
眼球,がんきゅう,Oculus
眼鏡,がんきょう,Kacamata
頑固,がんこ,Keras kepala
願書,がんしょ,Surat lamaran
頑丈,がんじょう,Kokoh
岩石,がんせき,Batu
元年,がんねん,Tahun sebelumnya
贋物,がんぶつ,Replika
元来,がんらい,Asli
生,き,Hidup
期,き,Tanggal
企画,きかく,Rencana
規格,きかく,Spesifikasi
着飾る,きかざる,Berpakaian
器官,きかん,Organ
季刊,きかん,Majalah bulanan
危害,きがい,Bahaya
気兼ね,きがね,Tidak perlu khawatir
気軽,きがる,Santai
危機,きき,Bencana
聞き取り,ききとり,Mendengarkan
効き目,ききめ,Efektivitas
帰京,ききょう,Kembali ke kota asal
基金,ききん,Dana
棄権,きけん,Penolakan
喜劇,きげき,Komedi
起源,きげん,Asal
機構,きこう,Struktur
既婚,きこん,Menikah
記載,きさい,Dicatat
気障,きざ,Udara
兆し,きざし,Tanda-tanda
兆,きざし,Triliun
軋む,きしむ,Berderit
気象,きしょう,Cuaca
期日,きじつ,Tanggal
記述,きじゅつ,Deskripsi
奇数,きすう,Ganjil
築く,きずく,Membangun
傷付く,きずつく,Terluka
規制,きせい,Peraturan
汽船,きせん,Kapal layar
寄贈,きそう,Donasi
貴族,きぞく,Bangsawan
鍛える,きたえる,Melatih
来る,きたる,Datang
気立て,きだて,Cara bertindak
きちっと,きちっと,Rapi
几帳面,きちょうめん,Perfeksionis
切っ掛け,きっかけ,Pemicu
きっかり,きっかり,Tepat
喫茶,きっさ,Kafe
きっちり,きっちり,ketat
屹度,きっと,Selama
きっぱり,きっぱり,dengan tegas
規定,きてい,Peraturan
起点,きてん,Awal
軌道,きどう,Orbit
甲,きのえ,甲
気配,きはい,Kehadiran
規範,きはん,Norma
気品,きひん,Keanggunan
気風,きふう,Suasana
起伏,きふく,Gundukan
規模,きぼ,Ukuran
気まぐれ,きまぐれ,Tidak menentu
生真面目,きまじめ,"Serius, sungguh"
期末,きまつ,Akhir periode
決まり悪い,きまりわるい,Aturan ini buruk
決まる,きまる,Terdampak
記名,きめい,Nama
脚色,きゃくしょく,Warna
脚本,きゃくほん,Penulisan naskah
客観,きゃっかん,Objektif
規約,きやく,Peraturan
救援,きゅうえん,Bantuan
休学,きゅうがく,Istirahat kuliah
究極,きゅうきょく,Puncak
窮屈,きゅうくつ,Kaku
球根,きゅうこん,Bunga Bulat
救済,きゅうさい,Penyelamatan
給食,きゅうしょく,Makan siang
給仕,きゅうじ,Melayani
休戦,きゅうせん,Perhentian pertempuran
旧知,きゅうち,Dikenal lama
宮殿,きゅうでん,Istana
窮乏,きゅうぼう,Kemiskinan
丘陵,きゅうりょう,Perbukitan
共,きょう,Bersama
供,きょう,Sesuai
驚異,きょうい,Keajaiban
教員,きょういん,Guru
教科,きょうか,Mata pelajaran
協会,きょうかい,Asosiasi
共感,きょうかん,Empati
共学,きょうがく,Sekolah campuran
協議,きょうぎ,Negosiasi
教訓,きょうくん,Pelajaran
境遇,きょうぐう,Keadaan
強行,きょうこう,Memaksa
強硬,きょうこう,Keras
凶作,きょうさく,Panen yang buruk
共産,きょうさん,Komunis
教材,きょうざい,Bahan ajar
教習,きょうしゅう,Pelatihan
郷愁,きょうしゅう,Nostalgia
教職,きょうしょく,Jabatan
享受,きょうじゅ,Menikmati
興じる,きょうじる,Berkembang
強制,きょうせい,Paksaan
共存,きょうそん,Koeksistensi
姉妹,きょうだい,Saudara perempuan
協調,きょうちょう,Koordinasi
協定,きょうてい,Perjanjian
脅迫,きょうはく,Ancaman
共鳴,きょうめい,Resonansi
郷里,きょうり,Desa tempat kelahiran
強烈,きょうれつ,Kuat
共和,きょうわ,Republik
曲,きょく,Lagu
局限,きょくげん,Terbatas
極端,きょくたん,Ekstrim
居住,きょじゅう,Tempat tinggal
拒絶,きょぜつ,Penolakan
拒否,きょひ,Penolakan
許容,きょよう,Diterima
距離,きょり,Jarak
寄与,きよ,Kontribusi
清らか,きよらか,Murni
気楽,きらく,Santai
煌びやか,きらびやか,Berkilau
切り,きり,Memotong
桐,きり,Kayu zaitun
切り替える,きりかえる,Mengubah
気流,きりゅう,Aliran udara
奇麗,きれい,Cantik
切れ目,きれめ,Celah
際,きわ,Saat
木綿,きわた,Katun
極めて,きわめて,Sangat
僅,きん,Hanya
近眼,きんがん,Rabun dekat
緊急,きんきゅう,Darurat
近々,きんきん,Segera
近郊,きんこう,Daerah pinggiran kota
均衡,きんこう,Keseimbangan
近視,きんし,Mata rabun
禁じる,きんじる,Dilarang
禁ずる,きんずる,Dilarang
勤勉,きんべん,Kerja keras
勤務,きんむ,Pekerjaan
禁物,きんもつ,Tidak Boleh
勤労,きんろう,Kerja keras
議案,ぎあん,Agenda
戯曲,ぎきょく,Drama
議決,ぎけつ,Memputuskan
議事堂,ぎじどう,Balai sidang
犠牲,ぎせい,Korban
偽造,ぎぞう,Palsu
議題,ぎだい,Agenda
技能,ぎのう,Keterampilan
逆転,ぎゃくてん,Membalikkan keadaan
行,ぎょう,Pergi
業者,ぎょうしゃ,Penyedia jasa
行政,ぎょうせい,Administrasi
業績,ぎょうせき,Prestasi
業務,ぎょうむ,Pekerjaan
玉,ぎょく,Mata
漁船,ぎょせん,Perahu nelayan
漁村,ぎょそん,Desa nelayan
義理,ぎり,Hubungan
疑惑,ぎわく,Dugaan
吟味,ぎんみ,Peninjauan
区,く,Distrik
食い違う,くいちがう,Tidak setuju
空腹,くうふく,Lapar
区画,くかく,Area
区間,くかん,Segmen
茎,くき,Batang
区切り,くぎり,Pembatas
潜る,くぐる,Mendaki
種々,くさぐさ,Berbagai
嚏,くしゃみ,Bersin
旧事,くじ,Hal-hal masa lalu
籤引,くじびき,Membaca ramalan
擽ぐったい,くすぐったい,Mengelus
草臥れる,くたびれる,Beristirahat
下らない,くだらない,Tidak penting
件,くだん,Subjek
口ずさむ,くちずさむ,Menyanyikan
嘴,くちばし,Mulut
朽ちる,くちる,Runtuh
くっきり,くっきり,Jelas
屈折,くっせつ,Distorsi
くっ付く,くっつく,Menempel
くっ付ける,くっつける,Menempelkan
覆す,くつがえす,Menutupi
諄い,くどい,Puitis
国境,くにざかい,Perbatasan
首飾り,くびかざり,Kalung
首輪,くびわ,Kalung
組み合わせ,くみあわせ,Kombinasi
組み合わせる,くみあわせる,Kombinasikan
組み込む,くみこむ,Memasukkan
蔵,くら,Gudang
苦しめる,くるしめる,Menyakiti
包む,くるむ,Membungkus
呉れ呉れも,くれぐれも,Sambil-sambil juga
呉れる,くれる,Melepaskan
玄人,くろうと,Orang yang berpengalaman
黒字,くろじ,Hitam
君主,くんしゅ,Raja
愚痴,ぐち,Omelan
ぐっと,ぐっと,Lebih jauh
ぐらい,ぐらい,kira-kira
群,ぐん,Kelompok
軍艦,ぐんかん,Kapal perang
群集,ぐんしゅう,Kerumunan
軍事,ぐんじ,Militer
軍備,ぐんび,Senjata
軍服,ぐんぷく,Seragam militer
刑,けい,Hukuman
頃,けい,Sekitar
傾,けい,Miring
系,けい,Keluarga
経過,けいか,Waktu yang telah berlalu
軽快,けいかい,Ringan
