Kanji,Reading,English
油絵,あぶらえ,oil painting
炙る,あぶる,to sear
あべこべ,あべこべ,"guess, speculation"
甘える,あまえる,to be spoiled; to be spoiled; to be spoiled
甘口,あまくち,sweet talk
雨具,あまぐ,Umbrellas
天,あまつ,heaven
網,あみ,net
天地,あめつち,heaven and earth
操る,あやつる,to manipulate
あやふや,あやふや,vague
危ぶむ,あやぶむ,risking
過ち,あやまち,mistake
誤る,あやまる,to be wrong
歩み,あゆみ,"step, pace, stride, advance"
歩む,あゆむ,to walk
あら,あら,"Oh, well"
予め,あらかじめ,in advance
荒らす,あらす,to destroy; to devastate; to ruin
粗筋,あらすじ,rough outline
争い,あらそい,struggle
改まる,あらたまる,"to change, to modify, to restrain, to curb"
荒っぽい,あらっぽい,rough
凡ゆる,あらゆる,all
あられ,あられ,hail
現われ,あらわれ,appearance
現われる,あらわれる,appear
有難う,ありがとう,Thank you
有様,ありさま,custom
有りのまま,ありのまま,as is
或る,ある,"some, a"
或いは,あるいは,or
彼此,あれこれ,each other
合わす,あわす,"to fit, to match, to combine, to suit"
合わせ,あわせ,coordinate
慌ただしい,あわただしい,hurried
慌てる,あわてる,to panic
暗殺,あんさつ,assassination
暗算,あんざん,mental calculation
暗示,あんじ,hint
案じる,あんじる,to worry about
安静,あんせい,quiet
案の定,あんのじょう,As expected
余り,あんまり,excess
依,い,depending on
良い,いい,good
伊井,いい,I
否,いいえ,no
いい加減,いいかげん,"reasonably, moderately, somewhat"
言い訳,いいわけ,excuse
家出,いえで,running away from home
家主,いえぬし,Landlord
如何,いかが,how
生かす,いかす,to make use of; to utilize; to exploit
雷,いかずち,thunder
如何に,いかに,How
如何にも,いかにも,How to
怒り,いかり,anger
怒る,いかる,to get angry
歪む,いがむ,"to warp, to distort, to skew"
粋,いき,"stylish, cool, sophisticated, elegant"
域外,いきがい,outside the domain
意気込む,いきごむ,"to look forward to, to be enthusiastic, to be hopeful"
経緯,いきさつ,"background, course of events, history"
行き違い,いきちがい,"disagreement, discrepancy, divergence"
行き成り,いきなり,passing by
異議,いぎ,objection
いく,いく,to go
軍,いくさ,army
戦,いくさ,war
育成,いくせい,"nurturing, development, cultivation, upbringing"
幾多,いくた,many
活ける,いける,"alive, living, vibrant"
異見,いけん,dissent
意向,いこう,intention
移行,いこう,transition
いざ,いざ,Now that
碑,いしぶみ,memorial
衣装,いしょう,costume
意地,いじ,"pride, honor, dignity, self-respect"
苛める,いじめる,to torment
移住,いじゅう,migration
弄る,いじる,"to play pranks on, to tease, to make fun of, to mess with"
何れ,いずれ,either
異性,いせい,different sex
遺跡,いせき,ruins
依然,いぜん,still
依存,いそん,dependence
委託,いたく,entrustment
悪戯,いたずら,mischief
頂,いただき,peak
戴きます,いただきます,I wear
至って,いたって,to the best of my knowledge
痛む,いたむ,hurts
痛める,いためる,to injure
炒める,いためる,to stir-fry
労る,いたわる,to take one's time; to be leisurely; to be indulgent
市,いち,city
位地,いち,location
一々,いちいち,every
一概に,いちがいに,in general
一見,いちげん,At first glance
一言,いちげん,one word
一日,いちじつ,one day
一定,いちじょう,certain
著しい,いちじるしい,remarkable
一同,いちどう,together
一人,いちにん,one person
一部,いちぶ,part
一部分,いちぶぶん,a part
一別,いちべつ,Farewell
一面,いちめん,one side
一目,いちもく,one glance
一様,いちよう,uniform
一律,いちりつ,uniformly
一連,いちれん,"series, sequence, string"
一括,いっかつ,"at once, all at once, in bulk"
一気,いっき,in one go; all at once; suddenly; abruptly; quickly; without hesitation
一挙に,いっきょに,"at once, all at once, in one go"
一切,いっさい,nothing
一心,いっしん,one-mindedness
いっそ,いっそ,Let alone
一帯,いったい,strip
一敗,いっぱい,one defeat
一変,いっぺん,complete transformation
何時,いつ,When
何時か,いつか,someday
何時でも,いつでも,Anytime
何時の間にか,いつのまにか,In the meantime
何時までも,いつまでも,forever
何時も,いつも,Always
意図,いと,intention
営む,いとなむ,"to conduct, to operate, to manage, to carry out"
暇,いとま,free time
異動,いどう,transfer
挑む,いどむ,to challenge
稲光,いなびかり,lightning
古,いにしえ,old
祈り,いのり,prayer
鼾,いびき,snoring
今更,いまさら,Too late
未だ,いまだ,"still, yet, not yet"
移民,いみん,immigrants
厭々,いやいや,reluctantly
卑しい,いやしい,"low, base, ignoble, despicable"
いやに,いやに,"really, very, quite"
厭やらしい,いやらしい,"disdainful, contemptuous"
愈々,いよいよ,"eventually, in the end, at last"
意欲,いよく,enthusiasm
苛々,いらいら,irritation
入口,いりくち,entrance
衣料,いりょう,clothing
威力,いりょく,"power, force, might"
入る,いる,to enter
衣類,いるい,clothing
色々,いろいろ,various
異論,いろん,dissenter opinion
所謂,いわゆる,as is said
印,いん,stamp
員,いん,member
印鑑,いんかん,chop
陰気,いんき,gloomy
隠居,いんきょ,Retirement; seclusion
上下,うえした,up and down
浮かぶ,うかぶ,floating
受かる,うかる,"to pass, to succeed, to get through"
含嗽,うがい,mouth rinse
受け入れ,うけいれ,acceptance
受け入れる,うけいれる,to accept
受け継ぐ,うけつぐ,to pass on
受け付ける,うけつける,accept
受け止める,うけとめる,to accept
受け取り,うけとり,receipt
受身,うけみ,"to receive, to take in, to be passive"
動き,うごき,movement
潮,うしお,Tide
氏,うじ,"Mr., Ms., Dr."
渦,うず,whirlpool
埋まる,うずまる,to be filled up
嘘つき,うそつき,liar
打ち合わせ,うちあわせ,meeting
打ち合わせる,うちあわせる,to discuss
打ち切る,うちきる,"to cut off, to terminate, to end abruptly"
打ち消し,うちけし,"cancel, negate, nullify"
打ち込む,うちこむ,"to input, to write down, to record"
団扇,うちわ,hand fan
内訳,うちわけ,breakdown
訴え,うったえ,lawsuit
鬱陶しい,うっとうしい,"annoying, irritating, bothersome"
写し,うつし,copy
空ろ,うつろ,empty
器,うつわ,"vessel, container, utensil"
雨天,うてん,rainy weather
腕前,うでまえ,"skill, ability, proficiency"
饂飩,うどん,udon
促す,うながす,"to encourage, to prompt, to stimulate, to urge"
唸る,うなる,rumbling
自惚れ,うぬぼれ,self-deception
甘い,うまい,sweet
生まれつき,うまれつき,congenital
海路,うみじ,By sea
産む,うむ,to give birth
埋め込む,うめこむ,to embed
梅干,うめぼし,pickled plum
末,うら,"end, final, last, late"
裏返し,うらがえし,inside out
売り出し,うりだし,"marketing, promotion, sales"
売り出す,うりだす,to offer for sale
潤う,うるおう,to become moist; to glisten; to shine
五月蝿い,うるさい,annoying
売れ行き,うれゆき,sales performance
浮気,うわき,infidelity
上手,うわて,"good at, skillful, proficient"
上回る,うわまわる,"exceed, surpass, outdo"
植わる,うわる,to grow
運営,うんえい,operation
うんざり,うんざり,fed up
運送,うんそう,transport
運賃,うんちん,freight
云々,うんぬん,"blah, whatever, humph"
運搬,うんぱん,transport
運命,うんめい,fate
運輸,うんゆ,transportation
運用,うんよう,operation
会,え,meeting
重,え,heavy
えい,えい,eye
映写,えいしゃ,"screen, projection"
英字,えいじ,English words
衛生,えいせい,hygiene
映像,えいぞう,映像
英雄,えいゆう,hero
液,えき,liquid
役,えき,role
閲覧,えつらん,viewing
獲物,えもの,prey
襟,えり,collar
縁,えん,"connection, relationship, bond, affinity, link, tie"
塩,えん,salt
艶,えん,"gloss, sheen, luster"
園,えん,garden
円滑,えんかつ,smoothly
縁側,えんがわ,stoop
沿岸,えんがん,coastal
婉曲,えんきょく,Euphemism
演習,えんしゅう,practice
演出,えんしゅつ,"direction, staging"
演じる,えんじる,acting
演ずる,えんずる,to perform
沿線,えんせん,along the railway line
縁談,えんだん,arranged marriage
遠方,えんぽう,from afar
円満,えんまん,harmonious
尾,お,tail
於,お,"at, in, on"
甥,おい,nephew
追い込む,おいこむ,"to pressure, to push, to corner"
美味しい,おいしい,delicious
追い出す,おいだす,to drive out
於いて,おいて,"on, at, in"
お出でになる,おいでになる,to attend
老いる,おいる,aging
負う,おう,to lose
応急,おうきゅう,temporary
黄金,おうごん,golden
黄色,おうしょく,yellow
応募,おうぼ,application
おおい,おおい,big
大方,おおかた,"generally, mostly, in general"
大柄,おおがら,"large, bulky"
大げさ,おおげさ,exaggerated
大事,おおごと,Important
大ざっぱ,おおざっぱ,laid-back
大筋,おおすじ,main line
大空,おおぞら,Great sky
大幅,おおはば,significant
大水,おおみず,large amount of water
公,おおやけ,public
お蔭,おかげ,Thanks to
お蔭様で,おかげさまで,Thanks to you
可笑しい,おかしい,funny
犯す,おかす,"to commit, to perpetrate, to infringe"
侵す,おかす,to invade
お菜,おかず,greens
臆病,おくびょう,cowardly
遅らす,おくらす,to delay
遅れ,おくれ,delay
起こす,おこす,to cause
行い,おこない,action
厳か,おごそか,"solemn, dignified, serious, grave"
傲る,おごる,arrogance
長,おさ,long
押さえる,おさえる,"to grasp, to hold, to seize, to control, to fix"
お先に,おさきに,I'm leaving first
収まる,おさまる,"to fit, to accommodate, to restrain, to control, to settle"
納まる,おさまる,"to comply, to obey, to submit"
治まる,おさまる,"to be alright, to recover, to get better"
お産,おさん,childbirth
教え,おしえ,to teach
押し込む,おしこむ,to force
惜しむ,おしむ,to regret; to pity; to be sorry for
お喋り,おしゃべり,chatter
お洒落,おしゃれ,stylish
押し寄せる,おしよせる,pushing against
お祖父さん,おじいさん,Grandfather
お邪魔します,おじゃまします,I'm sorry to bother you.
雄,おす,male
お世辞,おせじ,flattery
襲う,おそう,"to attack, to assail, to strike, to overwhelm"
遅くとも,おそくとも,at least
恐らく,おそらく,Probably
恐れ,おそれ,fear
恐れ入る,おそれいる,I apologize for bothering you
お大事に,おだいじに,Take care
煽てる,おだてる,to be hyped up; to be stimulated; to be excited
落ち込む,おちこむ,to be discouraged
落ち着き,おちつき,"calmness, composure, tranquility"
落ち葉,おちば,fallen leaves
落ちる,おちる,falling
おっかない,おっかない,awful
仰っしゃる,おっしゃる,"to say, to state, to claim"
乙,おつ,second
お使い,おつかい,"usage, use"
お手上げ,おてあげ,Give up
御手洗い,おてあらい,restroom
弟,おと,younger brother
落とす,おとす,"to drop, to fall"
訪れる,おとずれる,to visit
大人しい,おとなしい,"Mature, dignified, serious"
少女,おとめ,girl
お供,おとも,accompaniment
衰える,おとろえる,declining
おどおど,おどおど,uneasy
脅かす,おどかす,to threaten
脅す,おどす,to threaten
驚き,おどろき,surprise
同い年,おないどし,Same age
女子,おなご,girls
お願いします,おねがいします,Please
各,おのおの,each
自ずから,おのずから,automatically
お早う,おはよう,Good morning
お祖母さん,おばあさん,Grandmother
怯える,おびえる,to be afraid
夥しい,おびただしい,expensive
帯びる,おびる,to wear
覚え,おぼえ,memorize
御負け,おまけ,profit
お巡りさん,おまわりさん,police officer
お宮,おみや,temple
お襁褓,おむつ,diaper
お目出度う,おめでとう,opportunity
面,おも,face
思い付き,おもいつき,impulse
面白い,おもしろい,Interesting
玩具,おもちゃ,toy
重なる,おもなる,"accumulate, pile up, stack"
趣,おもむき,interest
赴く,おもむく,"to go, to proceed, to set out"
重役,おもやく,Key figure
重んじる,おもんじる,"to cherish, to value, to prize"
重んずる,おもんずる,to cherish
お休み,おやすみ,"holiday, rest, break"
お八,おやつ,eight o'clock
凡そ,およそ,approximately
及び,および,and
及ぶ,およぶ,"reach, extend, cover, span, encompass"
織,おり,weave
檻,おり,cage
折り返す,おりかえす,to fold over
織物,おりもの,fabric
織る,おる,to knit
俺,おれ,"I, me"
愚か,おろか,"foolish, stupid, silly, idiotic"
疎か,おろそか,unfamiliar
終わる,おわる,to end
音色,おんいろ,tone color
温和,おんわ,mild
仮,か,Temporary
科,か,field
個,か,individual
下位,かい,lower
階,かい,floor
改悪,かいあく,deterioration
海運,かいうん,maritime transport
改革,かいかく,reform
貝殻,かいがら,seashell
階級,かいきゅう,rank
海峡,かいきょう,Strait
会見,かいけん,press conference
介護,かいご,care
開催,かいさい,"to hold, to conduct, to organize"
回収,かいしゅう,recovery
改修,かいしゅう,renovation
怪獣,かいじゅう,monster
解除,かいじょ,release
回送,かいそう,escort
階層,かいそう,layer
開拓,かいたく,pioneer
会談,かいだん,meeting
改定,かいてい,revision
改訂,かいてい,Revision
街道,かいどう,street
介入,かいにゅう,intervention
開発,かいはつ,development
海抜,かいばつ,Elevation
介抱,かいほう,to take care of; to tend to; to look after
解剖,かいぼう,anatomy
回覧,かいらん,circular
海流,かいりゅう,ocean currents
改良,かいりょう,revision
回路,かいろ,circuit
顧みる,かえりみる,to reflect on; to consider; to look back on
省みる,かえりみる,"to spare, to economize, to economize"
返る,かえる,to return
顔付き,かおつき,"appearance, demeanor"
掲げる,かかげる,"to display, to hoist, to exhibit, to raise"
踵,かかと,heel
係り,かかり,"colleague, staff member, connection, relationship"
課外,かがい,Extracurricular
書き取り,かきとり,transcription
書き取る,かきとる,to write down
掻き回す,かきまわす,to stir up
欠く,かく,"to miss, to omit, to lack"
角,かく,corner
核,かく,nucleus
格,かく,rank
佳句,かく,beautiful verse
画,かく,drawing
格差,かくさ,gap
拡散,かくさん,diffusion
各種,かくしゅ,Various
隔週,かくしゅう,bi-weekly
確信,かくしん,certainty
革新,かくしん,innovation
確定,かくてい,confirmed
獲得,かくとく,gain
確保,かくほ,ensure
革命,かくめい,revolution
確立,かくりつ,establish
賭け,かけ,betting
掛け,かけ,to hang
駆け足,かけあし,hurriedly
家計,かけい,household budget
駆けっこ,かけっこ,race
駆ける,かける,"to drive, to run, to go"
賭ける,かける,to bet
ヶ月,かげつ,months
加工,かこう,processing
化合,かごう,chemical compound
嵩張る,かさばる,"bulky, cumbersome, taking up space"
嵩む,かさむ,to become bulky
風車,かざぐるま,windmill
畏まりました,かしこまりました,Understood
華奢,かしゃ,delicate
箇所,かしょ,"part, spot, location"
火傷,かしょう,burn
箇条書き,かじょうがき,Bulleted list
噛る,かじる,to bite
微か,かすか,slight
霞む,かすむ,fade away
化する,かする,"transform, change, mutate"
擦る,かする,to rub
火星,かせい,Mars
化石,かせき,fossils
河川,かせん,river
化繊,かせん,synthetic fiber
過疎,かそ,depopulation
過多,かた,excess
難い,かたい,difficult
片思い,かたおもい,one-way love
敵,かたき,enemy
気質,かたぎ,temperament
片言,かたこと,single-word
片付け,かたづけ,cleaning up
傾く,かたぶく,to lean
傾ける,かたむける,"to divert, to deflect, to turn aside"
固める,かためる,"to fix, to secure, to fasten, to strengthen"
偏る,かたよる,"to skew, to distort, to bias"
傍ら,かたわら,"nearby, adjacent"
課題,かだい,"task, problem, assignment"
花壇,かだん,flower bed
家畜,かちく,livestock
画期,かっき,Landmark
活発,かっぱつ,active
且つ,かつ,and also
割,かつ,"split, cut, divide, break"
嘗て,かつて,once
日付,かづけ,Date
門,かど,gate
叶う,かなう,to come true; to be fulfilled; to be realized
叶える,かなえる,"to fulfill, to realize, to achieve, to accomplish"
金槌,かなづち,hammer
鉄棒,かなぼう,bar
可成,かなり,potential
加入,かにゅう,join
金庫,かねぐら,safe
予言,かねごと,prophecy
兼ねて,かねて,"previously, earlier"
下番,かばん,shift
下品,かひん,crude
華美,かび,"opulent, lavish, gaudy"
花粉,かふん,pollen
株式,かぶしき,stocks
気触れる,かぶれる,to feel with the sense of touch
貨幣,かへい,money
構え,かまえ,"stance, attitude, demeanor"
構える,かまえる,"to stand guard, to be on guard, to prepare for"
加味,かみ,"Enhance, fortify, add"
噛み切る,かみきる,to bite off; to chew
過密,かみつ,overcrowded
瓶,かめ,bottle
かも知れない,かもしれない,"Maybe, perhaps"
粥,かゆ,porridge
痒い,かゆい,itchy
揶揄う,からかう,"to tease, to mock, to ridicule"
身体,からだ,body
体付き,からだつき,with a body
絡む,からむ,to get involved; to entangle; to be connected
借り,かり,loan
下吏,かり,town crier
加留多,かるた,Kadurato
涸れる,かれる,drying up
過労,かろう,overwork
辛うじて,かろうじて,barely
側,かわ,side
可愛い,かわいい,cute
可愛がる,かわいがる,to cherish
可哀想,かわいそう,pitiful
可愛らしい,かわいらしい,adorable
交わす,かわす,to exchange
代わる,かわる,replacement
代わる代わる,かわるがわる,alternating
乾,かん,dry
管,かん,pipe
幹,かん,main; core; trunk
冠,かん,crown
観,かん,"to observe, to watch, to view, to see, to witness, to perceive"
館,かん,"building, hall, institute, complex"
簡易,かんい,"simple, easy, elementary, basic"
感慨,かんがい,"feeling, sensation, emotion"
寒気,かんき,coldness
簡潔,かんけつ,concise
還元,かんげん,recovery
刊行,かんこう,publication
慣行,かんこう,"custom, practice, convention"
勧告,かんこく,Recommendation
看護,かんご,nursing
漢語,かんご,Classical Chinese
換算,かんさん,conversion
監視,かんし,surveillance
慣習,かんしゅう,custom
観衆,かんしゅう,audience
干渉,かんしょう,interference
感触,かんしょく,touch
肝心,かんじん,crucial
歓声,かんせい,Cheers
感染,かんせん,infection
幹線,かんせん,main line
関税,かんぜい,customs duty
簡素,かんそ,simple
観点,かんてん,perspective
感度,かんど,sensitivity
幹部,かんぶ,executive
勘弁,かんべん,"pardon, excuse me"
完璧,かんぺき,perfect
感無量,かんむりょう,overwhelmed
勧誘,かんゆう,recruitment
関与,かんよ,involvement
慣用,かんよう,Idiom
寛容,かんよう,tolerance
観覧,かんらん,"spectator, audience, viewing"
官僚,かんりょう,bureaucrat
慣例,かんれい,custom
還暦,かんれき,Sixtieth birthday
貫禄,かんろく,"dignity, poise, bearing, gravitas"
緩和,かんわ,alleviation
蓋,がい,lid
街,がい,city
外貨,がいか,Foreign currency
外観,がいかん,appearance
外相,がいしょう,appearance
害する,がいする,harming
概説,がいせつ,overview
該当,がいとう,relevant
街頭,がいとう,street
概念,がいねん,concept
外来,がいらい,outpatient
概略,がいりゃく,"roughly, approximately, in general"
学芸,がくげい,"arts, academic subjects"
学士,がくし,Bachelor's degree
学説,がくせつ,theory
楽譜,がくふ,sheet music
学歴,がくれき,educational background
崖,がけ,cliff
雅致,がち,"elegant, refined, graceful"
がっくり,がっくり,"to be completely defeated, to be utterly crushed"
合唱,がっしょう,choir
がっしり,がっしり,sturdy
合致,がっち,"coincide, be in agreement, be consistent"
がっちり,がっちり,"firmly, solidly, securely"
月日,がっぴ,"month, day"
合併,がっぺい,merger
がる,がる,to be glad
側,がわ,side
癌,がん,cancer
眼科,がんか,ophthalmology
眼球,がんきゅう,eye
眼鏡,がんきょう,glasses
頑固,がんこ,stubborn
願書,がんしょ,application form
頑丈,がんじょう,robust
岩石,がんせき,rock
元年,がんねん,Previous year
贋物,がんぶつ,fake
元来,がんらい,originally
生,き,living
期,き,term
企画,きかく,plan
規格,きかく,specification
着飾る,きかざる,to dress up
器官,きかん,organs
季刊,きかん,quarterly magazine
危害,きがい,harm
気兼ね,きがね,"taking care, being careful, being considerate"
気軽,きがる,casually
危機,きき,crisis
聞き取り,ききとり,hearing
効き目,ききめ,effectiveness
帰京,ききょう,returning home
基金,ききん,endowment
棄権,きけん,relinquishment
喜劇,きげき,comedy
起源,きげん,Origin
機構,きこう,mechanism
既婚,きこん,married
記載,きさい,Record
気障,きざ,air pressure
兆し,きざし,"sign, omen"
兆,きざし,trillion
軋む,きしむ,creaking
気象,きしょう,weather
期日,きじつ,Deadline
記述,きじゅつ,description
奇数,きすう,odd number
築く,きずく,"to build, to construct, to establish, to create"
傷付く,きずつく,to be injured
規制,きせい,regulation
汽船,きせん,steamboat
寄贈,きそう,donation
貴族,きぞく,aristocracy
鍛える,きたえる,"to train, to strengthen, to toughen"
来る,きたる,to come
気立て,きだて,attitude
きちっと,きちっと,"neatly, properly, correctly, tidily"
几帳面,きちょうめん,meticulous
切っ掛け,きっかけ,opportunity
きっかり,きっかり,precisely
喫茶,きっさ,cafe
きっちり,きっちり,"strictly, firmly, thoroughly, completely"
屹度,きっと,"immense, towering, towering"
きっぱり,きっぱり,definitively
規定,きてい,regulation
起点,きてん,Starting point
軌道,きどう,orbit
甲,きのえ,toe
気配,きはい,presence
規範,きはん,norm
気品,きひん,elegance
気風,きふう,"atmosphere, demeanor, style, character"
起伏,きふく,undulations
規模,きぼ,scale
気まぐれ,きまぐれ,capricious
生真面目,きまじめ,"sincere, earnest, serious"
期末,きまつ,end of term
決まり悪い,きまりわるい,bad rule
決まる,きまる,decides
記名,きめい,Named
脚色,きゃくしょく,color scheme
脚本,きゃくほん,screenplay
客観,きゃっかん,objective
規約,きやく,terms and conditions
救援,きゅうえん,rescue
休学,きゅうがく,Defer study
究極,きゅうきょく,ultimate
窮屈,きゅうくつ,strait-laced
球根,きゅうこん,bulb
救済,きゅうさい,salvation
給食,きゅうしょく,school lunch
給仕,きゅうじ,serving
休戦,きゅうせん,ceasefire
旧知,きゅうち,long-standing acquaintance
宮殿,きゅうでん,palace
窮乏,きゅうぼう,poverty
丘陵,きゅうりょう,Hills
共,きょう,together
供,きょう,"offer, provide, supply, give"
驚異,きょうい,wonder
教員,きょういん,teacher
教科,きょうか,subject
協会,きょうかい,Association
共感,きょうかん,empathy
共学,きょうがく,co-educational
協議,きょうぎ,deliberation
教訓,きょうくん,lesson
境遇,きょうぐう,circumstances
強行,きょうこう,"forceful, coercive, aggressive"
強硬,きょうこう,"rigid, strict, uncompromising"
凶作,きょうさく,bad harvest
共産,きょうさん,communism
教材,きょうざい,教材
教習,きょうしゅう,course
郷愁,きょうしゅう,Nostalgia
教職,きょうしょく,Teaching profession
享受,きょうじゅ,enjoy
興じる,きょうじる,"to excite, to stir up, to arouse"
強制,きょうせい,forced
共存,きょうそん,coexistence
姉妹,きょうだい,sisters
協調,きょうちょう,cooperation
協定,きょうてい,agreement
脅迫,きょうはく,blackmail
共鳴,きょうめい,resonance
郷里,きょうり,hometown
強烈,きょうれつ,intense
共和,きょうわ,republic
曲,きょく,song
局限,きょくげん,limited
極端,きょくたん,extreme
居住,きょじゅう,residence
拒絶,きょぜつ,refusal
拒否,きょひ,refusal
許容,きょよう,tolerance
距離,きょり,Distance
寄与,きよ,contribution
清らか,きよらか,"pure, innocent, clean"
気楽,きらく,"loosely, casually, easily"
煌びやか,きらびやか,"glittering, dazzling, brilliant"
切り,きり,cut
桐,きり,Paulownia
切り替える,きりかえる,switch
気流,きりゅう,airflow
奇麗,きれい,beautiful
切れ目,きれめ,slit
際,きわ,"occasionally, at times, in the case of"
木綿,きわた,cotton
極めて,きわめて,extremely
僅,きん,"only, merely, just"
近眼,きんがん,nearsightedness
緊急,きんきゅう,urgent
近々,きんきん,soon
近郊,きんこう,suburb
均衡,きんこう,equilibrium
近視,きんし,myopia
禁じる,きんじる,prohibit
禁ずる,きんずる,prohibit
勤勉,きんべん,diligence
勤務,きんむ,"working, employment"
禁物,きんもつ,Forbidden
勤労,きんろう,hardworking
議案,ぎあん,agenda
戯曲,ぎきょく,play
議決,ぎけつ,decision
議事堂,ぎじどう,Chamber
犠牲,ぎせい,sacrifice
偽造,ぎぞう,counterfeit
議題,ぎだい,agenda
技能,ぎのう,skill
逆転,ぎゃくてん,comeback
行,ぎょう,go
業者,ぎょうしゃ,contractor
行政,ぎょうせい,administration
業績,ぎょうせき,"performance, achievements, results"
業務,ぎょうむ,"business, work"
玉,ぎょく,jade
漁船,ぎょせん,fishing boat
漁村,ぎょそん,Fishing village
義理,ぎり,stepmother; wife of one's uncle or aunt
疑惑,ぎわく,suspicion
吟味,ぎんみ,review
区,く,district
食い違う,くいちがう,disagree
空腹,くうふく,Hunger
区画,くかく,"section, area, block"
区間,くかん,interval
茎,くき,stem
区切り,くぎり,separator
潜る,くぐる,to dive
種々,くさぐさ,various
嚏,くしゃみ,sneeze
旧事,くじ,old things
籤引,くじびき,drawing lots
擽ぐったい,くすぐったい,ticklish
草臥れる,くたびれる,to be lazy; to slack off; to be lethargic
下らない,くだらない,nonsense
件,くだん,"matter, case, item"
口ずさむ,くちずさむ,to hum
嘴,くちばし,mouth
朽ちる,くちる,to decay
くっきり,くっきり,"clear, distinct, sharp"
屈折,くっせつ,distortion
くっ付く,くっつく,stick together
くっ付ける,くっつける,"to attach, to stick together, to join"
覆す,くつがえす,"to cover, to conceal, to overrule, to override"
諄い,くどい,pedantic
国境,くにざかい,border
首飾り,くびかざり,Collar
首輪,くびわ,Collar
組み合わせ,くみあわせ,combination
組み合わせる,くみあわせる,to combine
組み込む,くみこむ,to incorporate
蔵,くら,"archive, collection"
苦しめる,くるしめる,to torment
包む,くるむ,to wrap
呉れ呉れも,くれぐれも,one after another
呉れる,くれる,to pour
玄人,くろうと,expert
黒字,くろじ,black ink
君主,くんしゅ,monarch
愚痴,ぐち,gossip
ぐっと,ぐっと,"intently, earnestly, seriously, deeply, more"
ぐらい,ぐらい,approximately
群,ぐん,group
軍艦,ぐんかん,warship
群集,ぐんしゅう,crowd
軍事,ぐんじ,military
軍備,ぐんび,military forces
軍服,ぐんぷく,Military uniform
刑,けい,punishment
頃,けい,"approximately, around, about, in the vicinity of"
傾,けい,tilt
系,けい,"family, relation, system, class, category, group, series"
経過,けいか,elapsed time
軽快,けいかい,"light, easy, nimble, graceful"
警戒,けいかい,vigilance
計器,けいき,instrument
契機,けいき,opportunity
敬具,けいぐ,Respectfully
軽減,けいげん,"reduce, lessen, mitigate, alleviate"
掲載,けいさい,publication
傾斜,けいしゃ,slope
形成,けいせい,formation
形勢,けいせい,situation
軽率,けいそつ,rashness
携帯,けいたい,mobile phone
形態,けいたい,form
刑罰,けいばつ,punishment
経費,けいひ,expenses
警部,けいぶ,inspector
軽蔑,けいべつ,contempt
経歴,けいれき,Resume
経路,けいろ,route
汚す,けがす,to pollute
汚らわしい,けがらわしい,dirty
汚れ,けがれ,"dirt, stain, grime"
汚れる,けがれる,to get dirty
獣,けだもの,animal
吝嗇,けち,stinginess
結核,けっかく,Tuberculosis
