Kanji,Reading,English
家具,かぐ,furniture
学,がく,"study, learning, education"
額,がく,cover
覚悟,かくご,"resolve, determination, be prepared, make up one's mind"
確実,かくじつ,certain
学者,がくしゃ,scholar
学習,がくしゅう,learning
隠す,かくす,to hide
拡大,かくだい,expansion
確認,かくにん,confirmation
学問,がくもん,"learning, scholarship, education"
隠れる,かくれる,to hide
影,かげ,shadow
陰,かげ,shadow
欠ける,かける,lacking
加減,かげん,"adjusting, moderating, varying"
過去,かこ,past
籠,かご,basket
囲む,かこむ,to surround
火災,かさい,fire
貸し,かし,rental
菓子,かし,sweets
家事,かじ,chores
賢い,かしこい,intelligent
歌手,かしゅ,singer
数,かず,number
稼ぐ,かせぐ,to earn
数える,かぞえる,to count
型,かた,mold
肩,かた,shoulder
硬い,かたい,hard
方々,かたがた,"those, you all, everyone"
刀,かたな,sword
語る,かたる,to talk
勝ち,かち,win
価値,かち,value
がっかり,がっかり,disappointment
活気,かっき,vibrancy
学期,がっき,term
格好,かっこう,"appearance, style, look"
活動,かつどう,activity
活用,かつよう,utilization
悲しむ,かなしむ,to be sad
必ずしも,かならずしも,necessarily
かなり,かなり,"quite, rather, fairly, somewhat"
金,かね,"money, gold"
金持ち,かねもち,Rich people
可能,かのう,possible
株,かぶ,stock
被る,かぶる,to wear
構う,かまう,"to take care of, to concern oneself with, to bother"
我慢,がまん,patience
上,かみ,up
神,かみ,God
雷,かみなり,thunder
髪の毛,かみのけ,hair
科目,かもく,field
かもしれない,かもしれない,maybe
火曜,かよう,Tuesday
空,から,sky
柄,がら,handle
刈る,かる,to harvest; to reap; to cut down
彼等,かれら,they
川,かわ,river
河,かわ,river
皮,かわ,skin
革,かわ,leather
かわいそう,かわいそう,"poor, pitiful, unfortunate"
かわいらしい,かわいらしい,adorable
缶,かん,Can
勘,かん,intuition
考え,かんがえ,thought
感覚,かんかく,sensation
観客,かんきゃく,audience
環境,かんきょう,environment
歓迎,かんげい,Welcome
観光,かんこう,tourism
観察,かんさつ,observation
感じ,かんじ,feeling
感謝,かんしゃ,gratitude
患者,かんじゃ,patient
勘定,かんじょう,account
感情,かんじょう,emotion
感じる,かんじる,to feel
感心,かんしん,"amazed, impressed, delighted"
関心,かんしん,interest
関する,かんする,regarding
完成,かんせい,completion
完全,かんぜん,completely
感動,かんどう,"emotion, moved"
監督,かんとく,Director
管理,かんり,management
完了,かんりょう,completed
関連,かんれん,related
議員,ぎいん,Member of parliament
記憶,きおく,memory
気温,きおん,Temperature
機械,きかい,machine
議会,ぎかい,parliament
期間,きかん,period
機関,きかん,locomotive
企業,きぎょう,company
効く,きく,effective
機嫌,きげん,mood
気候,きこう,climate
岸,きし,shore
生地,きじ,fabric
記事,きじ,article
技師,ぎし,engineer
記者,きしゃ,journalist
傷,きず,wound
期待,きたい,expectation
帰宅,きたく,returning home
貴重,きちょう,valuable
議長,ぎちょう,Chairperson
きちんと,きちんと,"properly, correctly, neatly"
きつい,きつい,stiff
気付く,きづく,to notice
気に入る,きにいる,to accept
記入,きにゅう,to fill in
記念,きねん,commemorative
機能,きのう,function
気の毒,きのどく,nasty
寄付,きふ,donation
希望,きぼう,hope
基本,きほん,basic
決まり,きまり,rule
気味,きみ,seems
奇妙,きみょう,strange
義務,ぎむ,duty
疑問,ぎもん,doubt
逆,ぎゃく,reverse
キャプテン,キャプテン,Captain
キャンプ,キャンプ,camping
九,きゅう,nine
旧,きゅう,"old, former"
級,きゅう,grade
球,きゅう,ball
休暇,きゅうか,vacation
休憩,きゅうけい,break
急激,きゅうげき,sudden
吸収,きゅうしゅう,absorption
救助,きゅうじょ,rescue
急速,きゅうそく,rapidly
急に,きゅうに,suddenly
給料,きゅうりょう,salary
器用,きよう,dexterous
教科書,きょうかしょ,textbook
競技,きょうぎ,competition
行儀,ぎょうぎ,manners
供給,きょうきゅう,supply
教師,きょうし,teacher
教授,きょうじゅ,Professor
強調,きょうちょう,emphasize
共通,きょうつう,common
共同,きょうどう,joint
恐怖,きょうふ,fear
協力,きょうりょく,cooperation
強力,きょうりょく,powerful
許可,きょか,permission
局,きょく,"office, branch"
巨大,きょだい,gigantic
嫌う,きらう,dislike
霧,きり,Mist
切れ,きれ,"sharpness, edge, to cut, to be sharp"
切れる,きれる,"to cut, to be able to cut, sharp"
キロ,キロ,kilometer
記録,きろく,record
議論,ぎろん,discussion
金,きん,"money, gold"
銀,ぎん,silver
禁煙,きんえん,no smoking
金額,きんがく,amount of money
金庫,きんこ,safe
禁止,きんし,prohibited
金銭,きんせん,"money, cash, funds"
金属,きんぞく,metal
近代,きんだい,modern
緊張,きんちょう,tension
筋肉,きんにく,muscle
金融,きんゆう,finance
金曜,きんよう,Friday
九,く,nine
句,く,phrase
食う,くう,to eat
偶然,ぐうぜん,coincidence
臭い,くさい,odor
鎖,くさり,chain
腐る,くさる,rot
癖,くせ,habit
管,くだ,pipe
具体,ぐたい,specific
下さる,くださる,"to do, to do"
下り,くだり,"down, descent, going down"
苦痛,くつう,pain
ぐっすり,ぐっすり,soundly
区別,くべつ,distinguish
組,くみ,group
組合,くみあい,association
組む,くむ,to assemble
曇,くもり,overcast
位,くらい,rank
暮らし,くらし,lifestyle
クラシック,クラシック,classic
暮らす,くらす,to live
グラス,グラス,glass
グランド,グランド,grand
クリーム,クリーム,cream
繰り返す,くりかえす,repeat
クリスマス,クリスマス,Christmas
狂う,くるう,to go mad
グループ,グループ,group
苦しい,くるしい,"difficult, hard"
苦しむ,くるしむ,to suffer
暮れ,くれ,late autumn
苦労,くろう,hardship
加える,くわえる,to add
詳しい,くわしい,detailed
加わる,くわわる,to join
訓,くん,"instruction, education, training"
軍,ぐん,army
軍隊,ぐんたい,army
訓練,くんれん,training
下,げ,"under, below, beneath, down"
計,けい,"count, measure, calculation, estimate, account, meter, gauge, scope, range, extent, scope, scale, measure, quantity, amount, number, total, sum, total, sum"
敬意,けいい,respect
経営,けいえい,management
計画,けいかく,plan
景気,けいき,economy
経験,けいけん,experience
傾向,けいこう,tendency
警告,けいこく,Warning
計算,けいさん,calculation
掲示,けいじ,"advertisement, notice, announcement"
刑事,けいじ,detective
芸術,げいじゅつ,art
契約,けいやく,contract
経由,けいゆ,transit
ケース,ケース,case
ゲーム,ゲーム,game
怪我,けが,injury
劇,げき,drama
劇場,げきじょう,theater
化粧,けしょう,makeup
けち,けち,stingy
結果,けっか,result
欠陥,けっかん,defect
結局,けっきょく,"ultimately, in the end, finally, as a result"
決心,けっしん,decision
欠席,けっせき,absence
決定,けってい,decision
欠点,けってん,flaw
月曜,げつよう,Monday
結論,けつろん,conclusion
煙,けむり,smoke
券,けん,ticket
県,けん,Prefecture
軒,けん,eave
喧嘩,けんか,"fight, quarrel, dispute"
見解,けんかい,opinion
限界,げんかい,limit
現金,げんきん,cash
言語,げんご,Language
健康,けんこう,health
検査,けんさ,inspection
現在,げんざい,Currently
現実,げんじつ,reality
現象,げんしょう,phenomenon
現状,げんじょう,current situation
建設,けんせつ,construction
現代,げんだい,Modern
建築,けんちく,architecture
見当,けんとう,estimate
検討,けんとう,consider
現場,げんば,the scene
憲法,けんぽう,Constitution
権利,けんり,rights
後,ご,after
語,ご,word
恋,こい,love
濃い,こい,"dark, deep, intense"
恋人,こいびと,boyfriend
幸運,こううん,good luck
講演,こうえん,lecture
効果,こうか,effect
硬貨,こうか,coin
高価,こうか,expensive
豪華,ごうか,luxurious
合格,ごうかく,pass
交換,こうかん,exchange
航空,こうくう,aviation
光景,こうけい,scene
合計,ごうけい,total
攻撃,こうげき,attack
貢献,こうけん,contribution
広告,こうこく,advertisement
交際,こうさい,Dating
後者,こうしゃ,the latter
工場,こうば,factory
構成,こうせい,composition
高速,こうそく,high speed
行動,こうどう,action
強盗,ごうとう,robbery
幸福,こうふく,happiness
公平,こうへい,fairness
候補,こうほ,candidate
考慮,こうりょ,consider
越える,こえる,"to surpass, to overcome, to cross, to exceed"
コーチ,コーチ,coach
コード,コード,code
氷,こおり,ice
凍る,こおる,freezing
ゴール,ゴール,goal
誤解,ごかい,misunderstanding
語学,ごがく,Language
呼吸,こきゅう,breathing
故郷,こきょう,hometown
極,ごく,extreme
国語,こくご,National language
黒板,こくばん,blackboard
克服,こくふく,overcome
国民,こくみん,citizen
穀物,こくもつ,grain
ここ,ここ,here
腰,こし,waist
故障,こしょう,malfunction
個人,こじん,individual
越す,こす,"to cross, to surpass, to exceed"
国家,こっか,Nation
国会,こっかい,Parliament
国境,こっきょう,border
骨折,こっせつ,fracture
小包,こづつみ,small package
事,こと,"matter, thing, affair, event, business"
異なる,ことなる,different
諺,ことわざ,proverb
断る,ことわる,to refuse
粉,こな,powder
この,この,this
好み,このみ,preference
好む,このむ,to like
コピー,コピー,copy
塵,ごみ,dust
小麦,こむぎ,wheat
ごめんなさい,ごめんなさい,I'm sorry
小屋,こや,cabin
これら,これら,these
頃,ころ,"approximately, around, about, in the vicinity of"
殺す,ころす,to kill
転ぶ,ころぶ,to fall
今回,こんかい,This time
今後,こんご,In the future
混雑,こんざつ,crowded
こんなに,こんなに,such
困難,こんなん,difficulties
今日,こんにち,Today
こんにちは,こんにちは,Hello
コンピューター,コンピューター,computer
婚約,こんやく,engagement
混乱,こんらん,confusion
差,さ,difference
サービス,サービス,service
際,さい,"occasionally, at times, in the case of"
最高,さいこう,highest
財産,ざいさん,assets
最終,さいしゅう,final
最中,さいちゅう,mochi
最低,さいてい,minimum
才能,さいのう,talent
裁判,さいばん,trial
材料,ざいりょう,materials
幸い,さいわい,lucky
サイン,サイン,signature
境,さかい,"vicinity, surroundings, environment, context, situation, state"
逆らう,さからう,to defy
盛り,さかり,盛り
作業,さぎょう,work
昨,さく,yesterday
作品,さくひん,artwork
作物,さくもつ,crops
桜,さくら,cherry blossom
酒,さけ,alcohol
叫ぶ,さけぶ,to shout
避ける,さける,avoid
支える,ささえる,to support
指す,さす,to point
座席,ざせき,seats
誘う,さそう,to entice
札,さつ,ticket
作家,さっか,author
作曲,さっきょく,composition
ざっと,ざっと,briefly
さっぱり,さっぱり,"fresh, crisp, clean"
さて,さて,Now
砂漠,さばく,desert
差別,さべつ,discrimination
作法,さほう,etiquette
様々,さまざま,various
覚ます,さます,"to wake up, to rouse"
覚める,さめる,to learn
左右,さゆう,left and right
皿,さら,plate
更に,さらに,more
去る,さる,past
猿,さる,monkey
騒ぎ,さわぎ,commotion
参加,さんか,participation
参考,さんこう,reference
賛成,Uӣ[い,agree
酸素,さんそ,oxygen
散歩,さんぽ,walk
四,し,four
氏,し,"Mr., Ms., Dr."
詩,し,poetry
幸せ,しあわせ,happiness
ジーンズ,ジーンズ,jeans
ジェット,ジェットき,jet
直に,じかに,immediately
しかも,しかも,"also, moreover, in addition"
叱る,しかる,to scold
式,しき,equation
直,じき,straight
時期,じき,Time
支給,しきゅう,allowance
しきりに,しきりに,persist
刺激,しげき,stimulation
資源,しげん,resources
事件,じけん,incident
時刻,じこく,time
自殺,じさつ,suicide
事実,じじつ,fact
支出,ししゅつ,expenditure
事情,じじょう,circumstances
詩人,しじん,poet
自身,じしん,oneself
沈む,しずむ,sinking
自然,しぜん,nature
思想,しそう,thought
舌,した,tongue
次第,しだい,stage
事態,じたい,situation
従う,したがう,obey
したがっ,したがって,followed
支度,したく,preparation
親しい,したしい,close
七,しち,seven
質,しつ,quality
失業,しつぎょう,unemployment
実験,じっけん,experiment
実現,じつげん,realization
実行,じっこう,execute
実際,じっさい,actually
実施,じっし,implementation
じっと,じっと,"to stare, to look intently, to gaze, to watch, to observe"
実に,じつに,"Truly, really"
実は,じつは,Actually
失望,しつぼう,disappointment
支店,してん,branch
指導,しどう,guidance
自動,じどう,automatic
品,しな,"item, product, quality, grade, standard"
支配,しはい,"control, domination, rule"
芝居,しばい,"play, drama, theatrical performance"
しばしば,しばしば,occasionally
芝生,しばふ,lawn
支払,しはらい,payment
支払う,しはらう,to pay
死亡,しぼう,death
資本,しほん,capital
しまい,（終わり）,end
姉妹,しまい,sisters
しまう,（終わる）,to become cloudy; to become misty; to become hazy
しまった,（感）,done
自慢,じまん,pride
事務,じむ,office work
示す,しめす,to indicate
占める,しめる,to occupy
下,しも,"under, below, beneath, down"
霜,しも,frost
じゃあ,じゃあ,Then
借金,しゃっきん,debt
しゃべる,しゃべる,to speak
邪魔,じゃま,interfere
週,しゅう,week
州,しゅう,state
十,じゅう,ten
銃,じゅう,gun
周囲,しゅうい,surrounding
収穫,しゅうかく,harvest
週間,しゅうかん,weekly
宗教,しゅうきょう,Religion
重視,じゅうし,emphasize
就職,しゅうしょく,employment
ジュース,ジュース,juice
修正,しゅうせい,revision
渋滞,じゅうたい,traffic congestion
重大,じゅうだい,"serious, grave, critical"
住宅,じゅうたく,housing
集団,しゅうだん,group
集中,しゅうちゅう,concentration
収入,しゅうにゅう,income
住民,じゅうみん,resident
重要,じゅうよう,important
修理,しゅうり,repair
主義,しゅぎ,ideology
宿泊,しゅくはく,Accommodation
手術,しゅじゅつ,surgery
首相,しゅしょう,Prime Minister
手段,しゅだん,means
主張,しゅちょう,"claim, assertion, argument, stance, position"
出身,しゅっしん,origin
出席,しゅっせき,attendance
出発,しゅっぱつ,departure
出版,しゅっぱん,publishing
首都,しゅと,Capital
主婦,しゅふ,housewife
主要,しゅよう,main
需要,じゅよう,demand
種類,しゅるい,type
順,じゅん,in order; in sequence; in turn; according to; in accordance with; in line
瞬間,しゅんかん,instant
順調,じゅんちょう,"smoothly, going well, progressing well"
順番,じゅんばん,Order
準備,じゅんび,preparation
使用,しよう,use
小,しょう,small
章,しょう,chapter
賞,しょう,award
上,じょう,up
障害,しょうがい,disability
奨学金,しょうがくきん,Scholarship
乗客,じょうきゃく,passenger
上京,じょうきょう,Moving to Tokyo
状況,じょうきょう,situation
条件,じょうけん,condition
正午,しょうご,noon
正直,しょうじき,Honest
常識,じょうしき,Common sense
少女,しょうじょ,girl
少々,しょうしょう,a little
症状,しょうじょう,symptoms
生じる,しょうじる,arise
招待,しょうたい,invitation
状態,じょうたい,state
上達,じょうたつ,improvement
冗談,じょうだん,joke
承知,しょうち,Understood
上等,じょうとう,"Excellent, perfect, wonderful"
衝突,しょうとつ,collision
商人,しょうにん,merchant
承認,しょうにん,approval
少年,しょうねん,boy
商売,しょうばい,business
消費,しょうひ,consumption
商品,しょうひん,product
消防,しょうぼう,firefighting
情報,じょうほう,Information
証明,しょうめい,proof
女王,じょおう,Queen
職,しょく,"job, occupation, profession"
職業,しょくぎょう,occupation
食事,しょくじ,meal
食卓,しょくたく,dining table
食品,しょくひん,food
植物,しょくぶつ,plant
食物,しょくもつ,food
食欲,しょくよく,appetite
食料,しょくりょう,food
食糧,しょくりょう,food
書斎,しょさい,study
女子,じょし,girls
助手,じょしゅ,assistant
徐々に,じょじょに,gradually
署名,しょめい,signature
書物,しょもつ,book
女優,じょゆう,actress
処理,しょり,processing
書類,しょるい,documents
知らせ,しらせ,notification
尻,しり,butt
印,しるし,stamp
城,しろ,Castle
進学,しんがく,entering higher education
神経,しんけい,nerve
真剣,しんけん,serious
信仰,しんこう,faith
信号,しんごう,signal
人工,じんこう,artificial
深刻,しんこく,serious
診察,しんさつ,examination
人種,じんしゅ,race
信じる,しんじる,believe
人生,じんせい,life
親戚,しんせき,relatives
新鮮,しんせん,fresh
心臓,しんぞう,heart
身体,しんたい,body
身長,しんちょう,height
慎重,しんちょう,careful
心配,しんぱい,worry
審判,しんぱん,judgment
人物,じんぶつ,person
進歩,しんぽ,progress
親友,しんゆう,close friend
信用,しんよう,trust
信頼,しんらい,trust
心理,しんり,psychology
人類,じんるい,humanity
巣,す,nest
図,ず,"diagram, figure, picture, illustration, sketch, drawing, map, chart"
水準,すいじゅん,level
推薦,すいせん,recommendation
スイッチ,スイッチ,switch
随分,ずいぶん,quite a while
睡眠,すいみん,sleep
数,すう,number
数字,すうじ,number
スープ,スープ,soup
末,すえ,"end, final, last, late"
姿,すがた,"appearance, form, figure, look"
スキー,スキー,ski
空く,すく,empty space
救う,すくう,to save
優れる,すぐれる,"superior, excellent, best"
スケート,スケート,skate
すごい,すごい,amazing
少しも,すこしも,a little bit
過ごす,すごす,to spend
筋,すじ,muscle
進める,すすめる,"to promote, to advance, to facilitate, to enable"
勧める,すすめる,recommend
スター,スター,star
スタイル,スタイル,style
スタンド,スタンド,stand
頭痛,ずつう,headache
ずっと,ずっと,"forever, always, continuously"
すてき,すてき,wonderful
既に,すでに,already
すなわち,すなわち,namely
素晴らし,すばらしい,wonderful
スピーチ,スピーチ,speech
全て,すべて,all
済ませる,すませる,"to finish, to complete, to settle"
角,すみ,corner
すみませ,（感）,excuse me
為る,する,to do
すると,すると,Then
鋭い,するどい,sharp
背,せい,back; spine; rear; behind; support
正,せい,"correct, right, true, accurate, exact"
生,せい,living
性,せい,sex
所為,せい,"basically, in essence, for all practical purposes"
税,ぜい,tax
性格,せいかく,personality
正確,せいかく,accurate
世紀,せいき,century
請求,せいきゅう,invoice
税金,ぜいきん,taxes
清潔,せいけつ,clean
制限,せいげん,limit
成功,せいこう,success
生産,せいさん,production
正式,せいしき,official
精神,せいしん,"mind, spirit, soul"
成人,せいじん,adult
精々,せいぜい,"approximately, roughly, about"
成績,せいせき,grades
製造,せいぞう,manufacturing
贅沢,ぜいたく,luxury
成長,せいちょう,growth
制度,せいど,system
青年,せいねん,youth
製品,せいひん,product
政府,せいふ,government
生物,せいぶつ,living thing
生命,せいめい,life
整理,せいり,"organization, arrangement, tidiness, order"
咳,せき,cough
石炭,せきたん,coal
責任,せきにん,responsibility
石油,せきゆ,petroleum
世間,せけん,society
説,せつ,"argument, explanation, theory, doctrine, principle, statement, assertion, claim, opinion, view"
積極的,せっきょくてき,proactive
設計,せっけい,design
絶対,ぜったい,absolute
セット,セット,set
設備,せつび,equipment
絶滅,ぜつめつ,extinction
節約,せつやく,saving
是非,ぜひ,Please
責める,せめる,to blame
世話,せわ,care
善,ぜん,good
全,ぜん,all
全員,ぜんいん,Everyone
専攻,せんこう,major
全国,ぜんこく,national
先日,せんじつ,Recently
前者,ぜんしゃ,the former
選手,せんしゅ,player
前進,ぜんしん,advance
全然,ぜんぜん,"completely, entirely, absolutely"
センター,センター,center
全体,ぜんたい,overall
選択,せんたく,selection
そう,そう,that
象,ぞう,elephant
騒音,そうおん,noise
増加,ぞうか,increase
操作,そうさ,operation
掃除,そうじ,cleaning
想像,そうぞう,Imagination
相続,そうぞく,inheritance
相談,そうだん,consultation
装置,そうち,device
相当,そうとう,considerable
速度,そくど,speed
そこ,そこ,there
底,そこ,bottom
そこで,そこで,Therefore
組織,そしき,organization
そして,そして,And then
注ぐ,そそぐ,to pour
育つ,そだつ,grow
そっくり,そっくり,"similar, alike, resembling"
そっと,そっと,"quietly, softly, gently, discreetly"
袖,そで,sleeve
備える,そなえる,to prepare for
その,その,that
そのうち,そのうち,of those
そのまま,そのまま,as is
側,そば,side
ソファー,ソファー,sofa
粗末,そまつ,"disrespect, rudeness, carelessness, neglect"
それ,（接。感）,that
それぞれ,それぞれ,each
それでも,それでも,Still
それと,それと,And also
それとも,それとも,Or
損,そん,loss
損害,そんがい,damage
尊敬,そんけい,respect
存在,そんざい,existence
尊重,そんちょう,respect
田,た,field
他,た,other
対,たい,against
大,だい,"big, large, great"
台,だい,table
題,だい,Title
体育,たいいく,Physical education
体温,たいおん,body temperature
大会,たいかい,event
大気,たいき,atmosphere
代金,だいきん,price
退屈,たいくつ,boring
滞在,たいざい,stay
大使,たいし,ambassador
大した,たいした,"great, impressive, significant"
対象,たいしょう,target
大臣,だいじん,Minister
対する,たいする,towards
大戦,たいせん,World War
大抵,たいてい,Usually
態度,たいど,attitude
大統領,だいとうりょう,President
大半,たいはん,the majority
代表,だいひょう,representative
大部分,だいぶぶん,most
タイプライター,タイプライター,Typewriter
大変,たいへん,very
逮捕,たいほ,arrest
ダイヤ,ダイヤ,diamond
太陽,たいよう,Sun
平ら,たいら,flat
代理,だいり,agent
大陸,たいりく,continent
倒す,たおす,topple
タオル,タオル,towel
だが,だが,but
互い,たがい,"each other, mutual"
宝,たから,treasure
だから,だから,therefore
宅,たく,suburban area
だけど,だけど,but
確かめる,たしかめる,to verify
多少,たしょう,somewhat
助ける,たすける,to help
ただ,ただ,just
唯,ただ,"sole, only"
戦い,たたかい,fight
戦う,たたかう,to fight
叩く,たたく,to hit
直ちに,ただちに,immediately
立ち上が,たちあがる,stand up
立場,たちば,"position, status, role"
経つ,たつ,to be late
達する,たっする,"to reach, to achieve, to attain"
唯,たった,"sole, only"
だって,だって,because
たっぷり,たっぷり,"plenty, abundantly, a lot"
縦,たて,vertical
たとえ,たとえ,even if
谷,たに,valley
他人,たにん,other people
