Kanji,Reading,English
考える,かんがえる,to think
関係,かんけい,relationship
看護婦,かんごふ,nurse
簡単,かんたん,easy
気,き,"atmosphere, mood, feeling, air, spirit, state"
機会,きかい,opportunity
危険,きけん,Danger
聞こえる,きこえる,to hear
汽車,きしゃ,train
技術,ぎじゅつ,technology
季節,きせつ,season
規則,きそく,rules
きっと,きっと,surely
絹,きぬ,silk
厳しい,きびしい,strict
気分,きぶん,mood
決る,きまる,"decide, determine, settle"
君,きみ,you
決める,きめる,decide
気持ち,きもち,feeling
着物,きもの,kimono
客,きゃく,customer
急,きゅう,"urgent, immediate, quick"
急行,きゅうこう,express train
教育,きょういく,Education
教会,きょうかい,church
競争,きょうそう,competition
興味,きょうみ,interest
近所,きんじょ,neighborhood
具合,ぐあい,"condition, state, situation"
空気,くうき,air
空港,くうこう,Airport
草,くさ,grass
くださる,くださる,to give
首,くび,head
雲,くも,cloud
比べる,くらべる,to compare
くれる,くれる,giving
暮れる,くれる,to pass away
君,くん,you
毛,け,hair
計画,けいかく,plan
経験,けいけん,experience
経済,けいざい,economy
警察,けいさつ,police
ケーキ,ケーキ,cake
けが,けが,injury
景色,けしき,scenery
消しゴム,けしゴム,eraser
下宿,げしゅく,Dormitory
決して,けっして,never
けれど,けれど,but
けれど,けれども,but
けれども,けれど,but
けれども,けれども,but
原因,げんいん,cause
けんか,けんか,fight
研究,けんきゅう,research
研究室,けんきゅうしつ,laboratory
見物,けんぶつ,sightseeing
子,こ,child
こう,こう,this
郊外,こうがい,suburb
講義,こうぎ,lecture
工業,こうぎょう,industry
高校,こうこう,high school
高校生,こうこうせい,high school student
工場,こうじょう,factory
校長,こうちょう,Principal
交通,こうつう,transportation
講堂,こうどう,auditorium
高等学校,こうとうがっこう,High school
公務員,こうむいん,civil servant
国際,こくさい,International
心,こころ,"heart, mind, soul, spirit"
御主人,ごしゅじん,husband
故障,こしょう,malfunction
ご存じ,ごぞんじ,You know
答,こたえ,answer
ごちそう,ごちそう,"feast, treat, meal"
こと,こと,"thing, matter, affair, business, issue, case, situation, circumstance, event, occurrence, state, condition, status, result, outcome, consequence, effect, result, outcome, matter, affair, business, issue, case, situation, circumstance, event, occurrence, state, condition, status, result, outcome, consequence, effect, result, outcome, matter, affair, business, issue, case, situation, circumstance, event, occurrence, state, condition, status, result, outcome, consequence, effect"
小鳥,ことり,small bird
このあいだ,このあいだ,during this period
このごろ,このごろ,"lately, recently"
細かい,こまかい,detailed
ごみ,ごみ,trash
込む,こむ,"to cram, to pack, to fill"
米,こめ,rice
ごらんになる,ごらんになる,to take a look at
これから,これから,From now on
怖い,こわい,scary
壊す,こわす,to break
壊れる,こわれる,"to break, to go bad, to fail"
コンサート,コンサート,concert
今度,こんど,next time
コンピュータ,コンピュータ,computer
コンピュータ,コンピューター,computer
コンピューター,コンピュータ,computer
コンピューター,コンピューター,computer
今夜,こんや,tonight
最近,さいきん,recently
最後,さいご,Finally
最初,さいしょ,First
坂,さか,slope
探す,さがす,to search for
下る,さがる,descend
盛ん,さかん,vibrant
下げる,さげる,"reduce, lower, decrease"
差し上げる,さしあげる,to offer
さっき,さっき,just now
寂しい,さびしい,lonely
さ来月,さらいげつ,next month
さ来週,さらいしゅう,next week
サラダ,サラダ,salad
騒ぐ,さわぐ,to make noise; to stir up trouble
触る,さわる,to touch
産業,さんぎょう,industry
サンダル,サンダル,sandal
サンドイッチ,サンドイッチ,sandwich
残念,ざんねん,Unfortunately
市,し,city
字,じ,character
試合,しあい,match
仕方,しかた,"way, method, means, possibility, circumstance"
しかる,しかる,"likewise, similarly"
試験,しけん,exam
事故,じこ,accident
地震,じしん,earthquake
時代,じだい,era
下着,したぎ,underwear
支度,したく,preparation
しっかり,しっかり,"firmly, securely, reliably"
失敗,しっぱい,failure
辞典,じてん,dictionary
品物,しなもの,goods
しばらく,しばらく,a while
島,しま,island
市民,しみん,citizen
事務所,じむしょ,office
社会,しゃかい,society
社長,しゃちょう,Chairman
じゃま,じゃま,interruption
ジャム,ジャム,jam
自由,じゆう,freedom
習慣,しゅうかん,habit
住所,じゅうしょ,Address
柔道,じゅうどう,Judo
十分,じゅうぶん,enough
出席,しゅっせき,attendance
出発,しゅっぱつ,departure
趣味,しゅみ,hobby
準備,じゅんび,preparation
紹介,しょうかい,introduction
小学校,しょうがっこう,elementary school
小説,しょうせつ,novel
招待,しょうたい,invitation
承知,しょうち,Understood
将来,しょうらい,future
食事,しょくじ,meal
食料品,しょくりょうひん,food
女性,じょせい,woman
知らせる,しらせる,to inform
調べる,しらべる,to investigate
人口,じんこう,population
神社,じんじゃ,shrine
親切,しんせつ,kind
心配,しんぱい,worry
新聞社,しんぶんしゃ,newspapers
水泳,すいえい,swimming
水道,すいどう,tap
ずいぶん,ずいぶん,quite a bit
数学,すうがく,Mathematics
スーツ,スーツ,suit
スーツケース,スーツケース,Suitcase
過ぎる,すぎる,"passing by, to pass"
すく,すく,to move quickly; to dart; to flit
スクリーン,スクリーン,screen
凄い,すごい,"amazing, incredible, awesome, fantastic"
進む,すすむ,"advance, proceed, move forward"
すっかり,すっかり,completely
すっと,すっと,smoothly
ステーキ,ステーキ,steak
捨てる,すてる,to discard
ステレオ,ステレオ,stereo
砂,すな,sand
すばらしい,すばらしい,wonderful
滑る,すべる,to slide
隅,すみ,corner
済む,すむ,to be finished
すり,すり,to rub
すると,すると,Then
生活,せいかつ,life
生産,せいさん,production
政治,せいじ,politics
西洋,せいよう,Western
世界,せかい,world
席,せき,seat
説明,せつめい,explanation
背中,せなか,back
ぜひ,ぜひ,"Please, definitely"
世話,せわ,care
線,せん,line
ぜんぜん,ぜんぜん,"completely, entirely, absolutely"
戦争,せんそう,war
先輩,せんぱい,Senior
そう,そう,that
相談,そうだん,consultation
育てる,そだてる,"to raise, to nurture, to cultivate"
卒業,そつぎょう,graduation
祖父,そふ,grandfather
ソフト,ソフト,soft
祖母,そぼ,grandmother
それで,それで,That
それに,それに,In addition
それほど,それほど,not that much
そろそろ,そろそろ,soon
そんな,そんな,like that
そんなに,そんなに,that much
退院,たいいん,discharge
大学生,だいがくせい,University student
大事,だいじ,Important
大体,だいたい,roughly
たいてい,たいてい,mostly
タイプ,タイプ,type
大分,だいぶ,Oita
台風,たいふう,typhoon
倒れる,たおれる,to fall down
だから,だから,therefore
確か,たしか,certainly
足す,たす,to add
訪ねる,たずねる,to visit
尋ねる,たずねる,to ask
正しい,ただしい,correct
畳,たたみ,tatami
立てる,たてる,"to build, to erect, to establish, to set up, to put up"
建てる,たてる,to build
例えば,たとえば,For example
棚,たな,shelf
楽しみ,たのしみ,enjoyment
楽む,たのしむ,to enjoy
たまに,たまに,occasionally
為,ため,for
だめ,だめ,no
足りる,たりる,sufficient
男性,だんせい,male
暖房,だんぼう,heating
血,ち,blood
チェック,チェック,check
力,ちから,power
ちっとも,ちっとも,a little bit
ちゃん,ちゃん,"baby, kid, young man, young woman"
注意,ちゅうい,Attention
中学校,ちゅうがっこう,middle school
注射,ちゅうしゃ,injection
駐車場,ちゅうしゃじょう,Parking lot
地理,ちり,Geography
捕まえる,つかまえる,to catch
つき,つき,"to attach, to connect, to link, to fasten"
付く,つく,"to attach, to stick, to cling, to adhere"
漬ける,つける,to marinate
都合,つごう,"circumstances, convenience"
伝える,つたえる,to convey
続く,つづく,continues
続ける,つづける,continue
包む,つつむ,to wrap
妻,つま,wife
つもり,つもり,"intention, thought, plan, purpose, aim, resolve"
釣る,つる,to fish
連れる,つれる,"to take with, to bring along, to accompany"
丁寧,ていねい,"polite, courteous, respectful, considerate, careful"
テキスト,テキスト,text
適当,てきとう,appropriate
できるだけ,できるだけ,as much as possible
手伝う,てつだう,to help
テニス,テニス,tennis
手袋,てぶくろ,gloves
寺,てら,temple
点,てん,point
店員,てんいん,shop assistant
天気予報,てんきよほう,Weather forecast
電灯,でんとう,lighting
電報,でんぽう,telegram
展覧会,てんらんかい,exhibition
都,と,Capital
道具,どうぐ,tool
とうとう,とうとう,finally
動物園,どうぶつえん,Zoo
遠く,とおく,far away
通る,とおる,"to pass, to go through, to get through"
特に,とくに,In particular
特別,とくべつ,special
とこや,とこや,small shop
途中,とちゅう,in the middle; midway; halfway; during; intermediate
特急,とっきゅう,express train
届ける,とどける,to deliver
泊まる,とまる,to stay overnight
止める,とめる,to stop
取り替える,とりかえる,to exchange
泥棒,どろぼう,thief
どんどん,どんどん,"continuously, steadily, progressively, more and more"
直す,なおす,"to correct, to rectify, to fix"
直る,なおる,"impossible, unresolvable, unsolvable"
治る,なおる,to heal
中々,なかなか,"quite, rather, rather, pretty"
泣く,なく,to cry
無くなる,なくなる,disappear
亡くなる,なくなる,to die
投げる,なげる,to throw
なさる,なさる,cannot do
鳴る,なる,to ring
なるべく,なるべく,as much as possible
なるほど,なるほど,"I see, I understand"
慣れる,なれる,to get used to
におい,におい,stench
苦い,にがい,bitter
二階建て,にかいだて,two-story
逃げる,にげる,to escape
日記,にっき,Diary
入院,にゅういん,Hospitalization
入学,にゅうがく,enrollment
似る,にる,"to resemble, to resemble, to look like"
人形,にんぎょう,doll
盗む,ぬすむ,to steal
塗る,ぬる,to paint
ぬれる,ぬれる,to get wet
ねだん,ねだん,degree
熱,ねつ,heat
ねっしん,ねっしん,Nesshin
寝坊,ねぼう,sleeping in
眠い,ねむい,sleepy
眠る,ねむる,to sleep
残る,のこる,remains
のど,のど,throat
乗り換える,のりかえる,switching
乗り物,のりもの,vehicle
葉,は,leaf
場合,ばあい,in cases
パート,パート,part
倍,ばい,multiple
拝見,はいけん,"to view, to observe, to inspect"
歯医者,はいしゃ,dentist
運ぶ,はこぶ,to carry
始める,はじめる,to begin
場所,ばしょ,location
はず,はず,likely
恥ずかしい,はずかしい,Embarrassing
パソコン,パソコン,personal computer
発音,はつおん,pronunciation
はっきり,はっきり,clearly
花見,はなみ,cherry blossom viewing
林,はやし,forest
払う,はらう,to pay
番組,ばんぐみ,program
反対,はんたい,opposition
ハンドバッグ,ハンドバッグ,handbag
日,ひ,day
火,ひ,fire
ピアノ,ピアノ,piano
冷える,ひえる,to get cold
光,ひかり,light
光る,ひかる,to shine
引き出し,ひきだし,drawer
引き出す,ひきだす,"to bring out, to extract, to draw out"
ひげ,ひげ,beard
飛行場,ひこうじょう,airfield
久しぶり,ひさしぶり,long time no see
美術館,びじゅつかん,museum
非常に,ひじょうに,very
びっくり,びっくり,surprise
引っ越す,ひっこす,moving
必要,ひつよう,necessary
ひどい,ひどい,terrible
開く,ひらく,open
ビル,ビル,Building
昼間,ひるま,daytime
昼休み,ひるやすみ,Lunch break
拾う,ひろう,to pick up
ファックス,ファックス,fax
増える,ふえる,to increase
深い,ふかい,deep
複雑,ふくざつ,complex
復習,ふくしゅう,review
部長,ぶちょう,Minister
普通,ふつう,ordinary
ぶどう,ぶどう,grape
太る,ふとる,to get fat
布団,ふとん,bedding
舟,ふね,boat
不便,ふべん,inconvenience
踏む,ふむ,to step on
降り出す,ふりだす,"to come out, to emerge, to step out"
プレゼント,プレゼント,gift
文化,ぶんか,culture
文学,ぶんがく,Literature
文法,ぶんぽう,Grammar
別,べつ,separate
ベル,ベル,bell
変,へん,change
返事,へんじ,reply
貿易,ぼうえき,trade
放送,ほうそう,broadcast
法律,ほうりつ,law
僕,ぼく,"I, me"
星,ほし,star
ほど,ほど,as a result; as a consequence; in the manner of; in the way of; to the extent of; to the degree of; to the extent that; to the extent that
ほとんど,ほとんど,almost
ほめる,ほめる,to praise
翻訳,ほんやく,Translation
参る,まいる,to attend
負ける,まける,to lose
まじめ,まじめ,serious
まず,まず,First
または,または,or
間違える,まちがえる,to make mistakes
間に合う,まにあう,In time
周り,まわり,surroundings
回る,まわる,to rotate
漫画,まんが,manga
真中,まんなか,Nakajima
見える,みえる,visible
湖,みずうみ,lake
味噌,みそ,miso
見つかる,みつかる,to be found
見つける,みつける,to find
皆,みな,Everyone
港,みなと,harbor
向かう,むかう,heading towards
迎える,むかえる,to welcome
昔,むかし,In the past
虫,むし,insect
息子,むすこ,son
娘,むすめ,daughter
無理,むり,"impossible, unreasonable, absurd, out of the question"
召し上がる,めしあがる,to eat
珍しい,めずらしい,rare
申し上げる,もうしあげる,"to mention, to state, to say"
申す,もうす,"to state, to say, to report"
もうすぐ,もうすぐ,soon
もし,もし,If
もちろん,もちろん,Of course
もっとも,もっとも,most
戻る,もどる,return
木綿,もめん,cotton
もらう,もらう,to receive
森,もり,forest
焼く,やく,to bake
約束,やくそく,Promise
役に立つ,やくにたつ,useful
焼ける,やける,to burn
優しい,やさしい,kind
痩せる,やせる,to get thinner
やっと,やっと,finally
やはり,やはり,as expected
やはり,やっぱり,as expected
やっぱり,やはり,"Still, inevitably"
やっぱり,やっぱり,"Still, inevitably"
止む,やむ,to stop
止める,やめる,to stop
柔らかい,やわらかい,soft
湯,ゆ,hot water
輸出,ゆしゅつ,export
輸入,ゆにゅう,import
指,ゆび,finger
指輪,ゆびわ,ring
夢,ゆめ,dream
揺れる,ゆれる,shaking
用,よう,use
用意,ようい,prepared
用事,ようじ,chores
汚れる,よごれる,to get dirty
予習,よしゅう,pre-study
予定,よてい,schedule
予約,よやく,reservation
寄る,よる,to rely on
喜ぶ,よろこぶ,to be happy
よろしい,よろしい,Okay
理由,りゆう,reason
利用,りよう,use
両方,りょうほう,both
旅館,りょかん,Ryokan
留守,るす,vacation
冷房,れいぼう,air conditioning
歴史,れきし,history
レジ,レジ,cash register
レポート,レポート,report
レポート,リポート,report
リポート,レポート,report
リポート,リポート,report
連絡,れんらく,contact
ワープロ,ワープロ,word processor
沸かす,わかす,to boil
別れる,わかれる,to part ways
沸く,わく,bubbling
訳,わけ,translation
忘れ物,わすれもの,forgotten item
笑う,わらう,to laugh
割合,わりあい,percentage
割れる,われる,"to break, to split, to fracture"
泳ぎ方,およぎかた,swimming technique
